Category,ID,Description,BgRatio,pvalue,padjust,qvalue,geneID,gene_name,rankScore,Gene Count
BP,GO:0071280,cellular response to copper ion,27/18493,0.000243247,0.002501966,0.000897696,351/23621,"APP,BACE1",0.052214098,2
BP,GO:0071450,cellular response to oxygen radical,27/18493,0.000243247,0.002501966,0.000897696,4846/4353,"NOS3,MPO",0.042038007,2
BP,GO:0071451,cellular response to superoxide,27/18493,0.000243247,0.002501966,0.000897696,4846/4353,"NOS3,MPO",0.042038007,2
BP,GO:0030900,forebrain development,374/18493,0.000247098,0.002526545,0.000906515,351/836/2932/581,"APP,CASP3,GSK3B,BAX",0.103992376,4
BP,GO:0010212,response to ionizing radiation,146/18493,0.000250348,0.002544718,0.000913035,836/596/581,"CASP3,BCL2,BAX",0.063228831,3
BP,GO:0010959,regulation of metal ion transport,376/18493,0.000252184,0.002548384,0.000914351,4846/596/581/5743,"NOS3,BCL2,BAX,PTGS2",0.077184544,4
BP,GO:0051604,protein maturation,378/18493,0.000257345,0.002585343,0.000927612,836/1636/5328/102,"CASP3,ACE,PLAU,ADAM10",0.085181037,4
BP,GO:0001844,protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,28/18493,0.000261826,0.002585343,0.000927612,596/581,"BCL2,BAX",0.024700971,2
BP,GO:0007263,nitric oxide mediated signal transduction,28/18493,0.000261826,0.002585343,0.000927612,4846/4843,"NOS3,NOS2",0.040270571,2
BP,GO:0009065,glutamine family amino acid catabolic process,28/18493,0.000261826,0.002585343,0.000927612,4846/4843,"NOS3,NOS2",0.040270571,2
BP,GO:0051384,response to glucocorticoid,149/18493,0.00026579,0.002609576,0.000936306,836/596/5743,"CASP3,BCL2,PTGS2",0.078531537,3
BP,GO:0050808,synapse organization,384/18493,0.000273285,0.002668005,0.00095727,351/4137/102/43,"APP,MAPT,ADAM10,ACHE",0.086394748,4
BP,GO:0014074,response to purine-containing compound,151/18493,0.00027642,0.002683448,0.000962811,351/5743/5468,"APP,PTGS2,PPARG",0.079709229,3
BP,GO:0048545,response to steroid hormone,390/18493,0.000289928,0.002798855,0.001004219,836/596/5743/5468,"CASP3,BCL2,PTGS2,PPARG",0.097829274,4
BP,GO:0043271,negative regulation of ion transport,154/18493,0.000292875,0.002811603,0.001008793,4846/596/5743,"NOS3,BCL2,PTGS2",0.06241625,3
BP,GO:0000303,response to superoxide,30/18493,0.000301004,0.00285788,0.001025397,4846/4353,"NOS3,MPO",0.041104691,2
BP,GO:2000406,positive regulation of T cell migration,30/18493,0.000301004,0.00285788,0.001025397,351/102,"APP,ADAM10",0.04663083,2
BP,GO:0015718,monocarboxylic acid transport,158/18493,0.000315785,0.00296563,0.001064057,1636/4843/5468,"ACE,NOS2,PPARG",0.056712188,3
BP,GO:0043535,regulation of blood vessel endothelial cell migration,158/18493,0.000315785,0.00296563,0.001064057,4846/5743/5468,"NOS3,PTGS2,PPARG",0.071115949,3
BP,GO:0000305,response to oxygen radical,31/18493,0.0003216,0.002987769,0.001072001,4846/4353,"NOS3,MPO",0.040792797,2
BP,GO:0051204,protein insertion into mitochondrial membrane,31/18493,0.0003216,0.002987769,0.001072001,596/581,"BCL2,BAX",0.024101185,2
BP,GO:0003018,vascular process in circulatory system,161/18493,0.000333706,0.003067259,0.001100521,1636/4846/5743,"ACE,NOS3,PTGS2",0.070511632,3
BP,GO:2001242,regulation of intrinsic apoptotic signaling pathway,161/18493,0.000333706,0.003067259,0.001100521,596/581/5743,"BCL2,BAX,PTGS2",0.05243644,3
BP,GO:0034614,cellular response to reactive oxygen species,162/18493,0.000339823,0.003106956,0.001114764,4137/4846/4353,"MAPT,NOS3,MPO",0.060688276,3
BP,GO:0014002,astrocyte development,32/18493,0.000342867,0.003118286,0.00111883,351/4137,"APP,MAPT",0.049631202,2
BP,GO:0030307,positive regulation of cell growth,163/18493,0.000346012,0.003130414,0.001123181,4137/596/102,"MAPT,BCL2,ADAM10",0.047252001,3
BP,GO:0051100,negative regulation of binding,165/18493,0.000358608,0.003169578,0.001137233,2932/1636/581,"GSK3B,ACE,BAX",0.05321353,3
BP,GO:0006816,calcium ion transport,413/18493,0.000360555,0.003169578,0.001137233,4846/596/581/5743,"NOS3,BCL2,BAX,PTGS2",0.074365368,4
BP,GO:0000737,"DNA catabolic process, endonucleolytic",33/18493,0.000364803,0.003169578,0.001137233,836/581,"CASP3,BAX",0.050270989,2
BP,GO:0001774,microglial cell activation,33/18493,0.000364803,0.003169578,0.001137233,351/4137,"APP,MAPT",0.049490879,2
BP,GO:0002269,leukocyte activation involved in inflammatory response,33/18493,0.000364803,0.003169578,0.001137233,351/4137,"APP,MAPT",0.049490879,2
BP,GO:0042987,amyloid precursor protein catabolic process,33/18493,0.000364803,0.003169578,0.001137233,351/102,"APP,ADAM10",0.045806758,2
BP,GO:0048147,negative regulation of fibroblast proliferation,33/18493,0.000364803,0.003169578,0.001137233,581/5468,"BAX,PPARG",0.033016824,2
BP,GO:0031960,response to corticosteroid,166/18493,0.000365015,0.003169578,0.001137233,836/596/5743,"CASP3,BCL2,PTGS2",0.075964975,3
BP,GO:0021543,pallium development,169/18493,0.00038468,0.003307098,0.001186574,836/2932/581,"CASP3,GSK3B,BAX",0.07013769,3
BP,GO:0048469,cell maturation,169/18493,0.00038468,0.003307098,0.001186574,351/596/5468,"APP,BCL2,PPARG",0.059377066,3
BP,GO:0030262,apoptotic nuclear changes,34/18493,0.000387408,0.003314066,0.001189075,836/581,"CASP3,BAX",0.04988154,2
BP,GO:0048771,tissue remodeling,170/18493,0.000391383,0.003315248,0.001189499,1636/4846/581,"ACE,NOS3,BAX",0.054621646,3
BP,GO:2001235,positive regulation of apoptotic signaling pathway,170/18493,0.000391383,0.003315248,0.001189499,2932/596/581,"GSK3B,BCL2,BAX",0.043899026,3
BP,GO:0050727,regulation of inflammatory response,425/18493,0.000401951,0.003388157,0.001215658,351/4843/5743/5468,"APP,NOS2,PTGS2,PPARG",0.093043927,4
BP,GO:0045923,positive regulation of fatty acid metabolic process,35/18493,0.00041068,0.003422319,0.001227915,5743/5468,"PTGS2,PPARG",0.047436081,2
BP,GO:0071470,cellular response to osmotic stress,35/18493,0.00041068,0.003422319,0.001227915,836/5743,"CASP3,PTGS2",0.064460197,2
BP,GO:0048167,regulation of synaptic plasticity,173/18493,0.000411946,0.003422319,0.001227915,351/4137/5743,"APP,MAPT,PTGS2",0.076736753,3
BP,GO:0006921,cellular component disassembly involved in execution phase of apoptosis,36/18493,0.000434619,0.003559341,0.001277078,836/581,"CASP3,BAX",0.049257761,2
BP,GO:0034405,response to fluid shear stress,36/18493,0.000434619,0.003559341,0.001277078,4846/5743,"NOS3,PTGS2",0.049491062,2
BP,GO:2000403,positive regulation of lymphocyte migration,36/18493,0.000434619,0.003559341,0.001277078,351/102,"APP,ADAM10",0.044883508,2
BP,GO:1904951,positive regulation of establishment of protein localization,437/18493,0.000446663,0.003640725,0.001306279,2932/596/43/5743,"GSK3B,BCL2,ACHE,PTGS2",0.075419971,4
BP,GO:0019932,second-messenger-mediated signaling,439/18493,0.000454448,0.003686789,0.001322806,4137/2932/4846/4843,"MAPT,GSK3B,NOS3,NOS2",0.077296658,4
BP,GO:0043534,blood vessel endothelial cell migration,182/18493,0.00047778,0.003857959,0.001384221,4846/5743/5468,"NOS3,PTGS2,PPARG",0.06790206,3
BP,GO:0045687,positive regulation of glial cell differentiation,38/18493,0.00048449,0.003893948,0.001397134,351/5468,"APP,PPARG",0.047425545,2
BP,GO:0071248,cellular response to metal ion,184/18493,0.000493272,0.003940491,0.001413833,351/23621/5743,"APP,BACE1,PTGS2",0.075467849,3
BP,GO:0007409,axonogenesis,449/18493,0.000494842,0.003940491,0.001413833,351/4137/2932/596,"APP,MAPT,GSK3B,BCL2",0.077466668,4
BP,GO:2000377,regulation of reactive oxygen species metabolic process,185/18493,0.000501138,0.003972327,0.001425256,4137/596/5743,"MAPT,BCL2,PTGS2",0.056701396,3
BP,GO:0006308,DNA catabolic process,39/18493,0.000510421,0.004019157,0.001442059,836/581,"CASP3,BAX",0.048196309,2
BP,GO:0050769,positive regulation of neurogenesis,453/18493,0.000511698,0.004019157,0.001442059,351/4137/596/5468,"APP,MAPT,BCL2,PPARG",0.076620614,4
BP,GO:0071453,cellular response to oxygen levels,187/18493,0.000517112,0.004043301,0.001450721,596/5743/5468,"BCL2,PTGS2,PPARG",0.056226709,3
BP,GO:0051346,negative regulation of hydrolase activity,458/18493,0.000533343,0.004075577,0.001462302,351/2932/4846/5743,"APP,GSK3B,NOS3,PTGS2",0.095906116,4
BP,GO:0001990,regulation of systemic arterial blood pressure by hormone,40/18493,0.000537014,0.004075577,0.001462302,1636/4846,"ACE,NOS3",0.040001364,2
BP,GO:0030810,positive regulation of nucleotide biosynthetic process,40/18493,0.000537014,0.004075577,0.001462302,4846/4843,"NOS3,NOS2",0.037194096,2
BP,GO:0061900,glial cell activation,40/18493,0.000537014,0.004075577,0.001462302,351/4137,"APP,MAPT",0.047328495,2
BP,GO:1900373,positive regulation of purine nucleotide biosynthetic process,40/18493,0.000537014,0.004075577,0.001462302,4846/4843,"NOS3,NOS2",0.037194096,2
BP,GO:2000404,regulation of T cell migration,40/18493,0.000537014,0.004075577,0.001462302,351/102,"APP,ADAM10",0.043805343,2
BP,GO:0070838,divalent metal ion transport,459/18493,0.00053775,0.004075577,0.001462302,4846/596/581/5743,"NOS3,BCL2,BAX,PTGS2",0.071116154,4
BP,GO:0072511,divalent inorganic cation transport,462/18493,0.000551126,0.004158714,0.001492131,4846/596/581/5743,"NOS3,BCL2,BAX,PTGS2",0.070855178,4
BP,GO:0007623,circadian rhythm,193/18493,0.000566988,0.004259806,0.001528403,2932/4843/5468,"GSK3B,NOS2,PPARG",0.053928997,3
BP,GO:0010001,glial cell differentiation,194/18493,0.00057559,0.004305709,0.001544872,351/4137/5468,"APP,MAPT,PPARG",0.065596498,3
BP,GO:0006509,membrane protein ectodomain proteolysis,42/18493,0.000592184,0.004391817,0.001575768,23621/102,"BACE1,ADAM10",0.035070877,2
BP,GO:0042551,neuron maturation,42/18493,0.000592184,0.004391817,0.001575768,351/596,"APP,BCL2",0.037755764,2
BP,GO:0046688,response to copper ion,43/18493,0.000620757,0.004584055,0.001644742,351/23621,"APP,BACE1",0.046936564,2
BP,GO:1901215,negative regulation of neuron death,201/18493,0.000638155,0.004692474,0.001683642,2932/596/581,"GSK3B,BCL2,BAX",0.041227606,3
BP,GO:0031667,response to nutrient levels,481/18493,0.00064144,0.004696648,0.00168514,596/4353/5743/5468,"BCL2,MPO,PTGS2,PPARG",0.071609868,4
BP,GO:0032309,icosanoid secretion,44/18493,0.000649989,0.004719251,0.00169325,1636/4843,"ACE,NOS2",0.03376089,2
BP,GO:0048066,developmental pigmentation,44/18493,0.000649989,0.004719251,0.00169325,596/581,"BCL2,BAX",0.022205989,2
BP,GO:0018198,peptidyl-cysteine modification,45/18493,0.000679878,0.004874813,0.001749065,1636/4843,"ACE,NOS2",0.033556465,2
BP,GO:0045776,negative regulation of blood pressure,45/18493,0.000679878,0.004874813,0.001749065,4846/4843,"NOS3,NOS2",0.035983732,2
BP,GO:1900034,regulation of cellular response to heat,45/18493,0.000679878,0.004874813,0.001749065,4137/2932,"MAPT,GSK3B",0.037459462,2
BP,GO:0071241,cellular response to inorganic substance,207/18493,0.000695123,0.004963525,0.001780895,351/23621/5743,"APP,BACE1,PTGS2",0.072321644,3
BP,GO:0031279,regulation of cyclase activity,46/18493,0.000710424,0.004970089,0.00178325,4846/4843,"NOS3,NOS2",0.035852901,2
BP,GO:0045981,positive regulation of nucleotide metabolic process,46/18493,0.000710424,0.004970089,0.00178325,4846/4843,"NOS3,NOS2",0.035852901,2
BP,GO:0071715,icosanoid transport,46/18493,0.000710424,0.004970089,0.00178325,1636/4843,"ACE,NOS2",0.033434459,2
BP,GO:1900544,positive regulation of purine nucleotide metabolic process,46/18493,0.000710424,0.004970089,0.00178325,4846/4843,"NOS3,NOS2",0.035852901,2
BP,GO:1901571,fatty acid derivative transport,46/18493,0.000710424,0.004970089,0.00178325,1636/4843,"ACE,NOS2",0.033434459,2
BP,GO:0010810,regulation of cell-substrate adhesion,209/18493,0.000714812,0.004980623,0.001787029,2932/5328/596,"GSK3B,PLAU,BCL2",0.037063535,3
BP,GO:0002446,neutrophil mediated immunity,499/18493,0.000736326,0.005025592,0.001803164,1636/5328/102/4353,"ACE,PLAU,ADAM10,MPO",0.058295239,4
BP,GO:0008038,neuron recognition,47/18493,0.000741624,0.005025592,0.001803164,351/836,"APP,CASP3",0.061116852,2
BP,GO:0022602,ovulation cycle process,47/18493,0.000741624,0.005025592,0.001803164,836/4846,"CASP3,NOS3",0.054526407,2
BP,GO:0035094,response to nicotine,47/18493,0.000741624,0.005025592,0.001803164,836/596,"CASP3,BCL2",0.043862501,2
BP,GO:0051205,protein insertion into membrane,47/18493,0.000741624,0.005025592,0.001803164,596/581,"BCL2,BAX",0.021945239,2
BP,GO:0051339,regulation of lyase activity,47/18493,0.000741624,0.005025592,0.001803164,4846/4843,"NOS3,NOS2",0.035777837,2
BP,GO:0150076,neuroinflammatory response,47/18493,0.000741624,0.005025592,0.001803164,351/4137,"APP,MAPT",0.045526343,2
BP,GO:0003044,regulation of systemic arterial blood pressure mediated by a chemical signal,49/18493,0.000805986,0.005410543,0.001941283,1636/4846,"ACE,NOS3",0.037941688,2
BP,GO:1990090,cellular response to nerve growth factor stimulus,49/18493,0.000805986,0.005410543,0.001941283,351/4137,"APP,MAPT",0.044891544,2
BP,GO:0016358,dendrite development,218/18493,0.000807824,0.005410543,0.001941283,351/2932/102,"APP,GSK3B,ADAM10",0.060043308,3
BP,GO:0001894,tissue homeostasis,221/18493,0.000840461,0.005607401,0.002011915,4846/596/581,"NOS3,BCL2,BAX",0.041513743,3
BP,GO:0007160,cell-matrix adhesion,222/18493,0.000851524,0.005637679,0.002022778,2932/5328/596,"GSK3B,PLAU,BCL2",0.036197325,3
BP,GO:0010594,regulation of endothelial cell migration,222/18493,0.000851524,0.005637679,0.002022778,4846/5743/5468,"NOS3,PTGS2,PPARG",0.063267418,3
BP,GO:0048588,developmental cell growth,226/18493,0.000896707,0.005900121,0.002116941,351/4137/2932,"APP,MAPT,GSK3B",0.062333089,3
BP,GO:0030195,negative regulation of blood coagulation,52/18493,0.000907416,0.005900121,0.002116941,5328/4846,"PLAU,NOS3",0.028033381,2
BP,GO:1900047,negative regulation of hemostasis,52/18493,0.000907416,0.005900121,0.002116941,5328/4846,"PLAU,NOS3",0.028033381,2
BP,GO:1990089,response to nerve growth factor,52/18493,0.000907416,0.005900121,0.002116941,351/4137,"APP,MAPT",0.044146506,2
BP,GO:0060560,developmental growth involved in morphogenesis,227/18493,0.000908236,0.005900121,0.002116941,351/4137/2932,"APP,MAPT,GSK3B",0.062333089,3
BP,GO:0031669,cellular response to nutrient levels,228/18493,0.00091986,0.005953251,0.002136004,596/5743/5468,"BCL2,PTGS2,PPARG",0.052279336,3
BP,GO:0071216,cellular response to biotic stimulus,229/18493,0.000931578,0.006006593,0.002155143,2932/4846/4843,"GSK3B,NOS3,NOS2",0.052695788,3
BP,GO:0010332,response to gamma radiation,53/18493,0.000942525,0.006054587,0.002172363,596/581,"BCL2,BAX",0.021172967,2
BP,GO:0097237,cellular response to toxic substance,235/18493,0.00100389,0.006424895,0.002305229,4846/4353/5743,"NOS3,MPO,PTGS2",0.060229865,3
BP,GO:0001541,ovarian follicle development,56/18493,0.001051738,0.006657154,0.002388562,596/581,"BCL2,BAX",0.020779618,2
BP,GO:0019229,regulation of vasoconstriction,56/18493,0.001051738,0.006657154,0.002388562,1636/5743,"ACE,PTGS2",0.041709915,2
BP,GO:0050819,negative regulation of coagulation,56/18493,0.001051738,0.006657154,0.002388562,5328/4846,"PLAU,NOS3",0.027374057,2
BP,GO:0006839,mitochondrial transport,241/18493,0.001079682,0.00680909,0.002443076,2932/596/581,"GSK3B,BCL2,BAX",0.03836495,3
BP,GO:2001244,positive regulation of intrinsic apoptotic signaling pathway,57/18493,0.001089433,0.006845604,0.002456177,596/581,"BCL2,BAX",0.020663887,2
BP,GO:0001836,release of cytochrome c from mitochondria,58/18493,0.001127773,0.00706084,0.002533403,596/581,"BCL2,BAX",0.02053554,2
BP,GO:0030888,regulation of B cell proliferation,59/18493,0.001166756,0.007174924,0.002574336,836/596,"CASP3,BCL2",0.040912083,2
BP,GO:0033619,membrane protein proteolysis,59/18493,0.001166756,0.007174924,0.002574336,23621/102,"BACE1,ADAM10",0.031899457,2
BP,GO:0070059,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,59/18493,0.001166756,0.007174924,0.002574336,596/581,"BCL2,BAX",0.020469089,2
BP,GO:0072678,T cell migration,59/18493,0.001166756,0.007174924,0.002574336,351/102,"APP,ADAM10",0.039302968,2
BP,GO:2000401,regulation of lymphocyte migration,59/18493,0.001166756,0.007174924,0.002574336,351/102,"APP,ADAM10",0.039302968,2
BP,GO:0021537,telencephalon development,248/18493,0.001172593,0.007185249,0.002578041,836/2932/581,"CASP3,GSK3B,BAX",0.060609154,3
BP,GO:0045685,regulation of glial cell differentiation,62/18493,0.001287551,0.007861796,0.002820783,351/5468,"APP,PPARG",0.041419995,2
BP,GO:0034612,response to tumor necrosis factor,257/18493,0.001299306,0.007877898,0.002826561,836/102/5743,"CASP3,ADAM10,PTGS2",0.068812757,3
BP,GO:0045165,cell fate commitment,257/18493,0.001299306,0.007877898,0.002826561,836/596/5468,"CASP3,BCL2,PPARG",0.056799823,3
BP,GO:0031668,cellular response to extracellular stimulus,258/18493,0.001313898,0.007938514,0.00284831,596/5743/5468,"BCL2,PTGS2,PPARG",0.04934297,3
BP,GO:0031334,positive regulation of protein complex assembly,259/18493,0.001328593,0.007974573,0.002861247,4137/2932/581,"MAPT,GSK3B,BAX",0.045098683,3
BP,GO:0008088,axo-dendritic transport,63/18493,0.001329096,0.007974573,0.002861247,351/4137,"APP,MAPT",0.041555183,2
BP,GO:0032409,regulation of transporter activity,260/18493,0.001343391,0.00800476,0.002872078,351/596/5468,"APP,BCL2,PPARG",0.05018761,3
BP,GO:0045926,negative regulation of growth,260/18493,0.001343391,0.00800476,0.002872078,596/4353/5468,"BCL2,MPO,PPARG",0.040758462,3
BP,GO:0045600,positive regulation of fat cell differentiation,64/18493,0.001371278,0.008126936,0.002915914,5743/5468,"PTGS2,PPARG",0.040209962,2
BP,GO:1903522,regulation of blood circulation,262/18493,0.001373302,0.008126936,0.002915914,1636/4846/5743,"ACE,NOS3,PTGS2",0.058639013,3
BP,GO:0034976,response to endoplasmic reticulum stress,264/18493,0.00140363,0.00824991,0.002960037,2932/596/581,"GSK3B,BCL2,BAX",0.036889067,3
BP,GO:0046651,lymphocyte proliferation,264/18493,0.00140363,0.00824991,0.002960037,836/596/581,"CASP3,BCL2,BAX",0.050779563,3
BP,GO:0035418,protein localization to synapse,65/18493,0.001414098,0.008283257,0.002972002,4137/102,"MAPT,ADAM10",0.030420109,2
BP,GO:0042063,gliogenesis,266/18493,0.00143438,0.008345485,0.002994329,351/4137/5468,"APP,MAPT,PPARG",0.057628094,3
BP,GO:0043542,endothelial cell migration,266/18493,0.00143438,0.008345485,0.002994329,4846/5743/5468,"NOS3,PTGS2,PPARG",0.058474992,3
BP,GO:0045927,positive regulation of growth,267/18493,0.001449914,0.008395506,0.003012277,4137/596/102,"MAPT,BCL2,ADAM10",0.039168267,3
BP,GO:0014015,positive regulation of gliogenesis,66/18493,0.001457553,0.008395506,0.003012277,351/5468,"APP,PPARG",0.040858569,2
BP,GO:0015909,long-chain fatty acid transport,66/18493,0.001457553,0.008395506,0.003012277,1636/5468,"ACE,PPARG",0.032727625,2
BP,GO:0060485,mesenchyme development,269/18493,0.001481299,0.008503935,0.00305118,2932/4846/596,"GSK3B,NOS3,BCL2",0.0441153,3
BP,GO:0045454,cell redox homeostasis,67/18493,0.001501644,0.00856383,0.00307267,4846/4843,"NOS3,NOS2",0.032175159,2
BP,GO:0046824,positive regulation of nucleocytoplasmic transport,67/18493,0.001501644,0.00856383,0.00307267,2932/5743,"GSK3B,PTGS2",0.040263839,2
BP,GO:0001822,kidney development,271/18493,0.001513111,0.00857264,0.003075832,1636/596/581,"ACE,BCL2,BAX",0.035944307,3
BP,GO:0021700,developmental maturation,271/18493,0.001513111,0.00857264,0.003075832,351/596/5468,"APP,BCL2,PPARG",0.049475094,3
BP,GO:0031670,cellular response to nutrient,68/18493,0.001546368,0.008703989,0.003122959,5743/5468,"PTGS2,PPARG",0.039636818,2
BP,GO:0042698,ovulation cycle,68/18493,0.001546368,0.008703989,0.003122959,836/4846,"CASP3,NOS3",0.048868598,2
BP,GO:0040014,regulation of multicellular organism growth,69/18493,0.001591726,0.008901303,0.003193754,351/596,"APP,BCL2",0.032841859,2
BP,GO:0048708,astrocyte differentiation,69/18493,0.001591726,0.008901303,0.003193754,351/4137,"APP,MAPT",0.040609606,2
BP,GO:0048678,response to axon injury,70/18493,0.001637716,0.009099591,0.003264899,596/581,"BCL2,BAX",0.019483863,2
BP,GO:1903747,regulation of establishment of protein localization to mitochondrion,70/18493,0.001637716,0.009099591,0.003264899,4137/596,"MAPT,BCL2",0.025101008,2
BP,GO:0010632,regulation of epithelial cell migration,284/18493,0.001730436,0.00955969,0.003429981,4846/5743/5468,"NOS3,PTGS2,PPARG",0.056815387,3
BP,GO:0061045,negative regulation of wound healing,72/18493,0.001731587,0.00955969,0.003429981,5328/4846,"PLAU,NOS3",0.025397693,2
BP,GO:0072001,renal system development,286/18493,0.001765517,0.009715967,0.003486053,1636/596/581,"ACE,BCL2,BAX",0.034998757,3
BP,GO:0042310,vasoconstriction,73/18493,0.001779467,0.009730757,0.00349136,1636/5743,"ACE,PTGS2",0.038550923,2
BP,GO:1900371,regulation of purine nucleotide biosynthetic process,73/18493,0.001779467,0.009730757,0.00349136,4846/4843,"NOS3,NOS2",0.031311711,2
BP,GO:0030808,regulation of nucleotide biosynthetic process,74/18493,0.001827975,0.009964483,0.00357522,4846/4843,"NOS3,NOS2",0.031151279,2
BP,GO:0010769,regulation of cell morphogenesis involved in differentiation,293/18493,0.001891819,0.010280072,0.003688452,4137/2932/102,"MAPT,GSK3B,ADAM10",0.045268802,3
BP,GO:0072332,intrinsic apoptotic signaling pathway by p53 class mediator,76/18493,0.001926872,0.010437725,0.003745017,596/581,"BCL2,BAX",0.018915054,2
BP,GO:0032103,positive regulation of response to external stimulus,297/18493,0.001966474,0.010610876,0.003807143,351/102/5743,"APP,ADAM10,PTGS2",0.058531957,3
BP,GO:0030193,regulation of blood coagulation,77/18493,0.001977258,0.010610876,0.003807143,5328/4846,"PLAU,NOS3",0.024827912,2
BP,GO:1900046,regulation of hemostasis,77/18493,0.001977258,0.010610876,0.003807143,5328/4846,"PLAU,NOS3",0.024827912,2
BP,GO:0009064,glutamine family amino acid metabolic process,78/18493,0.002028269,0.010784149,0.003869313,4846/4843,"NOS3,NOS2",0.030616963,2
BP,GO:0021766,hippocampus development,78/18493,0.002028269,0.010784149,0.003869313,836/2932,"CASP3,GSK3B",0.04521421,2
BP,GO:0034644,cellular response to UV,78/18493,0.002028269,0.010784149,0.003869313,581/5743,"BAX,PTGS2",0.032673084,2
BP,GO:0043536,positive regulation of blood vessel endothelial cell migration,79/18493,0.002079902,0.010967981,0.003935271,4846/5743,"NOS3,PTGS2",0.039612434,2
BP,GO:0010506,regulation of autophagy,303/18493,0.002081885,0.010967981,0.003935271,4137/836/596,"MAPT,CASP3,BCL2",0.053159269,3
BP,GO:0042113,B cell activation,303/18493,0.002081885,0.010967981,0.003935271,836/596/581,"CASP3,BCL2,BAX",0.047765339,3
BP,GO:0042116,macrophage activation,80/18493,0.002132158,0.011164757,0.004005874,351/4137,"APP,MAPT",0.038660949,2
BP,GO:2000300,regulation of synaptic vesicle exocytosis,80/18493,0.002132158,0.011164757,0.004005874,2932/23621,"GSK3B,BACE1",0.032145461,2
BP,GO:0097756,negative regulation of blood vessel diameter,81/18493,0.002185036,0.011407075,0.004092816,1636/5743,"ACE,PTGS2",0.037228222,2
BP,GO:0050818,regulation of coagulation,82/18493,0.002238533,0.011616172,0.00416784,5328/4846,"PLAU,NOS3",0.024333531,2
BP,GO:0097194,execution phase of apoptosis,82/18493,0.002238533,0.011616172,0.00416784,836/581,"CASP3,BAX",0.03892407,2
BP,GO:0015849,organic acid transport,316/18493,0.002346302,0.012000832,0.004305854,1636/4843/5468,"ACE,NOS2,PPARG",0.043092232,3
BP,GO:0046942,carboxylic acid transport,316/18493,0.002346302,0.012000832,0.004305854,1636/4843/5468,"ACE,NOS2,PPARG",0.043092232,3
BP,GO:0050886,endocrine process,84/18493,0.002347385,0.012000832,0.004305854,1636/4846,"ACE,NOS3",0.032150731,2
BP,GO:0070542,response to fatty acid,84/18493,0.002347385,0.012000832,0.004305854,5743/5468,"PTGS2,PPARG",0.036953175,2
BP,GO:1903035,negative regulation of response to wounding,84/18493,0.002347385,0.012000832,0.004305854,5328/4846,"PLAU,NOS3",0.024155603,2
BP,GO:1902803,regulation of synaptic vesicle transport,85/18493,0.002402737,0.012213336,0.0043821,2932/23621,"GSK3B,BACE1",0.031503506,2
BP,GO:0071214,cellular response to abiotic stimulus,319/18493,0.002410155,0.012213336,0.0043821,836/581/5743,"CASP3,BAX,PTGS2",0.060138678,3
BP,GO:0104004,cellular response to environmental stimulus,319/18493,0.002410155,0.012213336,0.0043821,836/581/5743,"CASP3,BAX,PTGS2",0.060138678,3
BP,GO:0001655,urogenital system development,322/18493,0.002475085,0.012505692,0.004486996,1636/596/581,"ACE,BCL2,BAX",0.033092374,3
BP,GO:0048814,regulation of dendrite morphogenesis,87/18493,0.00251529,0.012634947,0.004533372,2932/102,"GSK3B,ADAM10",0.027959374,2
BP,GO:0061097,regulation of protein tyrosine kinase activity,87/18493,0.00251529,0.012634947,0.004533372,351/1636,"APP,ACE",0.03721901,2
BP,GO:0010721,negative regulation of cell development,326/18493,0.002563344,0.01283901,0.004606589,351/2932/596,"APP,GSK3B,BCL2",0.045725717,3
BP,GO:0019217,regulation of fatty acid metabolic process,88/18493,0.002572489,0.012847575,0.004609662,5743/5468,"PTGS2,PPARG",0.036383525,2
BP,GO:0071496,cellular response to external stimulus,328/18493,0.002608201,0.012988388,0.004660185,596/5743/5468,"BCL2,PTGS2,PPARG",0.044319633,3
BP,GO:0009791,post-embryonic development,89/18493,0.002630301,0.013023381,0.004672741,596/581,"BCL2,BAX",0.01799748,2
BP,GO:0033273,response to vitamin,89/18493,0.002630301,0.013023381,0.004672741,5743/5468,"PTGS2,PPARG",0.036269968,2
BP,GO:0003073,regulation of systemic arterial blood pressure,90/18493,0.002688725,0.013236802,0.004749316,1636/4846,"ACE,NOS3",0.031438153,2
BP,GO:0048145,regulation of fibroblast proliferation,90/18493,0.002688725,0.013236802,0.004749316,581/5468,"BAX,PPARG",0.024815043,2
BP,GO:0001101,response to acid chemical,332/18493,0.002699377,0.013251486,0.004754584,836/5743/5468,"CASP3,PTGS2,PPARG",0.063962903,3
BP,GO:0030516,regulation of axon extension,91/18493,0.002747761,0.013412802,0.004812464,4137/2932,"MAPT,GSK3B",0.030337732,2
BP,GO:0048144,fibroblast proliferation,91/18493,0.002747761,0.013412802,0.004812464,581/5468,"BAX,PPARG",0.024739253,2
BP,GO:0031589,cell-substrate adhesion,338/18493,0.002839827,0.013823158,0.004959698,2932/5328/596,"GSK3B,PLAU,BCL2",0.029927988,3
BP,GO:1900542,regulation of purine nucleotide metabolic process,94/18493,0.002928529,0.014214882,0.005100247,4846/4843,"NOS3,NOS2",0.028749993,2
