num,Database,herb,Ingredient_Name,MOLID,PubChem_CID,Biological_Test_Results,BBB_OB,SMILES,genes_from_tcmsp,genes_from_pubchem,genes_from_sea,genes_total,CHEMBL
105,TCMSP,danshen,Methylenetanshinquinone,MOL007061,105118,,,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4=C,"ACHE,CHRM3,CHRM2,PRSS1,GABRA1,SCN5A,SLC6A4,RXRA,CHRM5,CHRM1,PTGS2,ADRA1A,OPRM1,carbonic,ADRB2,NCOA1,OPRD1",,"CES2,PTPN6","ACHE,SCN5A,SLC6A4,RXRA,ADRA1A,OPRM1,CHRM5,PTPN6,NCOA1,PRSS1,CHRM2,CHRM3,GABRA1,CHRM1,PTGS2,ADRB2,carbonic,CES2,OPRD1",
107,TCMSP,danshen,przewalskin a,MOL007063,16090911,,,CC(C)C1=CC2=C(C(=O)C(=C1O)C(=O)C)C34CCCC(C3C(C2OC4O)O)(C)C,"NR3C1,NR3C2",,,"NR3C1,NR3C2",
108,TCMSP,danshen,przewalskin b,MOL007064,16102114,,,CC(C)C1=CC23CCC4C(=CCCC4(C)C)C2OC(=O)C3(C1=O)O,"NCOA2,NR3C1,PGR,PTGS2,NR3C2,NCOA1",,,"NCOA2,NR3C1,PGR,NR3C2,PTGS2,NCOA1",
112,TCMSP,danshen,Przewaquinone B,MOL007068,622085,Exist,,CC1=C2C=CC3=C(C2=CC=C1)C(=O)C(=O)C4=C3OC=C4CO,"NCOA1,PTGS2,PRSS1,RXRA",,"EED,SUZ12,EZH2,PTPN6,CES2","EED,SUZ12,RXRA,PTGS2,EZH2,PTPN6,NCOA1,CES2,PRSS1",CHEMBL4070130
113,TCMSP,danshen,przewaquinone c,MOL007069,126071,,,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)O,"ACHE,CHRM4,CHRM3,CHRM2,OPRM1,GABRA1,SCN5A,CHRM5,CHRM1,PTGS1,PTGS2,ADRA1A,ADRB2,carbonic,NCOA1,OPRD1",,"EED,SUZ12,PTPN6,RBBP7,RBBP4,EZH2,CES2","ACHE,EED,SCN5A,PTGS1,ADRA1A,CHRM5,OPRM1,RBBP4,PTPN6,NCOA1,CHRM2,CHRM4,CHRM3,SUZ12,GABRA1,CHRM1,RBBP7,PTGS2,EZH2,ADRB2,carbonic,CES2,OPRD1",
114,TCMSP,danshen,"(6S,7R)-6,7-dihydroxy-1,6-dimethyl-8,9-dihydro-7H-naphtho[8,7-g]benzofuran-10,11-dione",MOL007070,NO,,,,"ACHE,PRSS1,PTGS2,carbonic,NCOA1",,,"ACHE,PRSS1,PTGS2,carbonic,NCOA1",
115,TCMSP,danshen,przewaquinone f,MOL007071,126073,,,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCC(C4CO)O,"NCOA1,PTGS2,PRSS1",,"EED,SUZ12,RBBP7,RBBP4,EZH2","EED,PRSS1,SUZ12,RBBP7,PTGS2,RBBP4,EZH2,NCOA1",
116,TCMSP,danshen,"(2S)-3-(3,4-dihydroxyphenyl)-2-hydroxypropanoic acid",MOL007072,179536,,,C1=CC(=C(C=C1CC(C(=O)O)O)O)O,"ACHE,ADRA2B,CTRB1,MAOB,ADRA1D,ADRA2A,PTGS1,PTGS2,ADRB1,ADRB2,ADRA2C",,FYN,"ACHE,ADRA2B,CTRB1,MAOB,ADRA1D,ADRA2A,PTGS1,PTGS2,ADRB1,ADRB2,FYN,ADRA2C",
121,TCMSP,danshen,sclareol,MOL007077,163263,Exist,,CC1(CCCC2(C1CCC(C2CCC(C)(C=C)O)(C)O)C)C,PTGS2,"SMAD2,ESRRA,CASP7,CASP3,AR,PGR,ESR1,GLI3,TSHR,ESR2,JUN,NR1I2,NR1H4,TRHR,SMAD3,CYP19A1",,"SMAD2,ESRRA,CASP3,CASP7,AR,PGR,ESR1,GLI3,TSHR,ESR2,JUN,NR1I2,NR1H4,PTGS2,TRHR,SMAD3,CYP19A1",CHEMBL294740
122,TCMSP,danshen,tanshinaldehyde,MOL007079,124268,,,CC1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C=O,"ACHE,CHRM1,PTGS2,OPRM1,NCOA1,ADRB2,PRSS1,OPRD1",,"CES2,CES1","ACHE,PRSS1,CES1,CHRM1,PTGS2,OPRM1,ADRB2,CES2,NCOA1,OPRD1",
124,TCMSP,danshen,Danshenol B,MOL007081,3083515,Exist,,CC1COC2=C1C(=O)C(C3=C2C=CC4=C3CCCC4(C)C)(CC(=O)C)O,"NR3C1,PGR,PTGS2,OPRM1,carbonic,NCOA1",,CES2,"NR3C1,PGR,PTGS2,OPRM1,carbonic,CES2,NCOA1",CHEMBL2261307
125,TCMSP,danshen,Danshenol A,MOL007082,3083514,Exist,,CC1COC2=C1C(=O)C(C3=C2C=CC4=C(C=CC=C43)C)(CC(=O)C)O,"SCN5A,RXRA,PTGS1,PTGS2,KCNH2,NCOA1",,,"SCN5A,RXRA,PTGS1,PTGS2,KCNH2,NCOA1",CHEMBL2261306
126,TCMSP,danshen,Z-8-Hexadecen-1-ol acetate,MOL007083,5363535,,,CCCCCCCC=CCCCCCCCOC(=O)C,"PTGS1,NCOA2",,FAAH,"PTGS1,FAAH,NCOA2",
128,TCMSP,danshen,Salvilenone,MOL007085,389885,Exist,,CC1=C2C=CC3=C4C2=C(C=C1)C(=O)C(=C4OC3(C)C)C(C)C,"HTR3A,ESR2,AR,PTGS1,PTGS2,CHRM5,ESR1",,,"HTR3A,ESR2,AR,PTGS1,PTGS2,CHRM5,ESR1",CHEMBL1997332
130,TCMSP,danshen,cryptotanshinone,MOL007088,160254,Exist,,CC1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,"SCN5A,ADRA1B,PGR,PTGS1,TNFA,OPRM1,CHRM5,EDN3,RELA,BIRC5,GABRA1,STAT3,CHRM1,PTGS2,BCL2L1,OPRD1,ADRA1A,NCOA1,CHRM2,CHRM4,APP,NCOA2,CHRM3,ADRA1D,ADRB2,carbonic,CCND1","PTPRF,CES1,PAFAH1B3,KCNK3,PLK1,MITF,GSTO1,UCHL5,VDR,PLA2G7,PAFAH2,HIF1A,PTPRC,RAPGEF3,PTPN1,STAT3,BAZ2B,PIP4K2A,GMNN,ACHE,POLB,POLH,TDP1,PTPN6,CFTR,ALDH1A1,MAPT,PTPN11,EPAS1,USP1,POLI,STAT1,SMAD3,CES2","ACHE,CES1,STAT3,PTPN6,CES2","PTPRF,CES1,PAFAH1B3,SCN5A,ADRA1B,PGR,PTGS1,KCNK3,TNFA,CHRM5,OPRM1,PLK1,EDN3,MITF,GSTO1,UCHL5,VDR,RELA,PLA2G7,BIRC5,PAFAH2,STAT1,HIF1A,PTPRC,GABRA1,RAPGEF3,PTPN1,STAT3,CHRM1,BAZ2B,PIP4K2A,PTGS2,BCL2L1,GMNN,OPRD1,ACHE,POLB,POLH,ADRA1A,TDP1,PTPN6,NCOA1,CFTR,CHRM2,CHRM4,APP,NCOA2,CHRM3,ALDH1A1,MAPT,PTPN11,EPAS1,ADRA1D,USP1,POLI,ADRB2,carbonic,SMAD3,CES2,CCND1",CHEMBL187460
135,TCMSP,danshen,dan-shexinkum d,MOL007093,NO,,,,"AR,SCN5A,RXRA,ADRA1B,PTGS1,PRSS1,ESR1,CHRM1,GSK3B,PTGS2,ACHE,CHEK1,KCNH2,NCOA1,NCOA2,CCNA2,ESR2,ADRB2,carbonic",,,"ACHE,CHEK1,AR,SCN5A,RXRA,ADRA1B,PTGS1,KCNH2,ESR1,PRSS1,NCOA1,NCOA2,CCNA2,ESR2,CHRM1,GSK3B,PTGS2,ADRB2,carbonic",
136,TCMSP,danshen,danshenspiroketallactone,MOL007094,NO,,,,"SCN5A,SLC6A4,RXRA,ADRA1B,PTGS1,OPRM1,CHRM5,ESR1,GABRA1,CHRM1,PTGS2,ACHE,CHRNA2,ADRA1A,CHRM2,CHRM4,CHRM3,ADRA1D,ADRB2,carbonic",,,"ACHE,CHRNA2,SCN5A,SLC6A4,RXRA,ADRA1B,PTGS1,ADRA1A,CHRM5,OPRM1,ESR1,CHRM2,CHRM4,CHRM3,GABRA1,ADRA1D,CHRM1,PTGS2,ADRB2,carbonic",
140,TCMSP,danshen,deoxyneocryptotanshinone,MOL007098,15690458,Exist,,CC(C)C1=C(C2=C(C3=C(C=C2)C(CCC3)(C)C)C(=O)C1=O)O,"AR,SCN5A,RXRA,ADRA1B,PTGS1,OPRM1,CHRM5,ESR1,CHRM1,GSK3B,PTGS2,OPRD1,ADRA1A,NCOA1,CHRM2,CHRM4,NCOA2,CHRM3,ADRA1D,ADRB2,carbonic",,"CDC25A,CDC25B,CES2","AR,CDC25B,SCN5A,RXRA,ADRA1B,PTGS1,ADRA1A,CHRM5,OPRM1,ESR1,NCOA1,CHRM2,CHRM4,NCOA2,CHRM3,ADRA1D,CHRM1,GSK3B,PTGS2,ADRB2,carbonic,CDC25A,CES2,OPRD1",CHEMBL1813345
142,TCMSP,danshen,dihydrotanshinlactone,MOL007100,NO,,,,"AR,SCN5A,SLC6A4,RXRA,ADRA1B,PTGS1,OPRM1,CHRM5,ESR1,PRSS1,GABRA1,CHRM1,GSK3B,PTGS2,ACHE,ADRA1A,CHRM3,CCNA2,HTR3A,ADRA1D,ADRB2,carbonic,SLC6A3",,,"ACHE,AR,SCN5A,SLC6A4,RXRA,ADRA1B,PTGS1,ADRA1A,CHRM5,OPRM1,PRSS1,ESR1,CHRM3,CCNA2,HTR3A,GABRA1,ADRA1D,CHRM1,GSK3B,PTGS2,ADRB2,carbonic,SLC6A3",
143,TCMSP,danshen,dihydrotanshinone£é,MOL007101,NO,,,,"NCOA2,HTR3A,GABRA1,SCN5A,RXRA,ADRA1B,PTGS1,PTGS2,ADRA1A,ADRB2,NCOA1",,,"NCOA2,HTR3A,GABRA1,SCN5A,RXRA,ADRA1B,PTGS1,PTGS2,ADRA1A,ADRB2,NCOA1",
144,TCMSP,danshen,diisopro-penyl methyl vinyl cyclohexane2,MOL007102,NO,,,,"CHRM3,CHRNA2,GABRA1,RXRA,PTGS2,CHRM2",,,"CHRM3,CHRNA2,GABRA1,RXRA,PTGS2,CHRM2",
147,TCMSP,danshen,epidanshenspiroketallactone,MOL007105,102004791,,,CC1CC2(C3=C(C4=CC=CC(=C4C=C3)C)C(=O)O2)OC1,"CHRM4,CHRM3,CHRM2,GABRA1,ADRA1D,RXRA,SLC6A4,ADRA1B,CHRM5,PTGS1,SCN5A,CHRM1,PTGS2,ADRA1A,OPRM1,ADRB2,ESR1,OPRD1",,,"SCN5A,RXRA,SLC6A4,ADRA1B,PTGS1,ADRA1A,OPRM1,CHRM5,ESR1,CHRM2,CHRM4,CHRM3,GABRA1,ADRA1D,CHRM1,PTGS2,ADRB2,OPRD1",
149,TCMSP,danshen,C09092,MOL007107,442027,Exist,,CC(C)C1=C(C=C2C(=C1)CCC3C2(CCCC3(C)C)C)O,"ACHE,CHRM3,ADRA1D,SCN5A,ADRA1B,CHRM1,ADRA1A,OPRM1,carbonic,ADRB2,CHRM2",,,"ACHE,CHRM3,SCN5A,ADRA1D,ADRA1B,CHRM1,ADRA1A,OPRM1,carbonic,ADRB2,CHRM2",CHEMBL197308
150,TCMSP,danshen,isocryptotanshi-none,MOL007108,NO,,,,"AR,SCN5A,RXRA,ADRA1B,PTGS1,OPRM1,CHRM5,PRSS1,ESR1,GABRA1,CHRM1,PTGS2,DRD2,OPRD1,ACHE,ADRA1A,NCOA1,CHRM2,CHRM4,NCOA2,CHRM3,ADRA1D,ADRB2,carbonic",,,"ACHE,AR,SCN5A,RXRA,ADRA1B,PTGS1,ADRA1A,CHRM5,OPRM1,ESR1,PRSS1,NCOA1,CHRM2,CHRM4,NCOA2,CHRM3,GABRA1,ADRA1D,CHRM1,PTGS2,DRD2,ADRB2,carbonic,OPRD1",
153,TCMSP,danshen,Isotanshinone II,MOL007111,44425166,Exist,,CC1=C2C=CC3=C(C2=CC=C1)C4=C(C(=CO4)C)C(=O)C3=O,"AR,SCN5A,RXRA,OPRM1,CHRM5,ESR1,GABRA1,CHRM1,GSK3B,PTGS2,OPRD1,ACHE,CHEK1,ADRA1A,CHRM2,CHRM3,CCNA2,ESR2,ADRB2",,"EED,SUZ12,EZH2,PTPN6,CES2","ACHE,CHEK1,EED,AR,SCN5A,RXRA,ADRA1A,OPRM1,CHRM5,PTPN6,ESR1,CHRM2,CHRM3,CCNA2,SUZ12,ESR2,GABRA1,CHRM1,GSK3B,PTGS2,EZH2,ADRB2,CES2,OPRD1",CHEMBL227131
156,TCMSP,danshen,manool,MOL007115,3034394,Exist,,CC1(CCCC2(C1CCC(=C)C2CCC(C)(C=C)O)C)C,NCOA2,,,NCOA2,CHEMBL4162501
159,TCMSP,danshen,microstegiol,MOL007118,403772,Exist,,CC1=C2CCCC(C3(C2=C(C=C1)C=C(C3=O)C(C)C)O)(C)C,,,,,CHEMBL3814422
160,TCMSP,danshen,miltionone £é,MOL007119,NO,,,,"AR,SCN5A,RXRA,ADRA1B,PTGS1,OPRM1,ESR1,CHRM1,GSK3B,PTGS2,OPRD1,ADRA1A,NCOA1,CHRM2,NCOA2,NR3C1,CHRM3,CCNA2,ADRB2,carbonic",,,"AR,SCN5A,RXRA,ADRA1B,PTGS1,ADRA1A,OPRM1,ESR1,NCOA1,CHRM2,NCOA2,NR3C1,CHRM3,CCNA2,CHRM1,GSK3B,PTGS2,ADRB2,carbonic,OPRD1",
161,TCMSP,danshen,miltionone £ê,MOL007120,NO,,,,"ACHE,NCOA2,NR3C1,PGR,PTGS2,carbonic,NCOA1",,,"ACHE,NCOA2,NR3C1,PGR,PTGS2,carbonic,NCOA1",
162,TCMSP,danshen,miltipolone,MOL007121,10086184,Exist,,CC1=C(C(=O)C=C2C(=C1)C3CC4C2(CCCC4(C)C)CO3)O,"ACHE,ESR1",,,"ACHE,ESR1",CHEMBL1761193
163,TCMSP,danshen,Miltirone,MOL007122,160142,Exist,,CC(C)C1=CC2=C(C3=C(C=C2)C(CCC3)(C)C)C(=O)C1=O,"AR,SCN5A,RXRA,ADRA1B,PTGS1,OPRM1,CHRM5,ADRA2C,ESR1,DRD5,CHRM1,PTGS2,OPRD1,ADRA1A,CHRM2,CHRM4,NCOA2,CHRM3,ADRA1D,ADRB2,carbonic,SLC6A3","ABCB1,CES1,MAPK13,MAPK12,MAPK3,MAPK1,MAPK11,MAPK14,CES2","CES2,CES1","CES2,ABCB1,CES1,AR,SCN5A,RXRA,MAPK3,ADRA1B,MAPK1,PTGS1,MAPK11,ADRA1A,CHRM5,OPRM1,ADRA2C,ESR1,CHRM2,CHRM4,NCOA2,CHRM3,DRD5,ADRA1D,MAPK12,MAPK13,CHRM1,MAPK14,PTGS2,ADRB2,carbonic,SLC6A3,OPRD1",CHEMBL45830
164,TCMSP,danshen,miltirone £ê,MOL007123,NO,,,,,,,,
165,TCMSP,danshen,neocryptotanshinone ii,MOL007124,15690458,Exist,,CC(C)C1=C(C2=C(C3=C(C=C2)C(CCC3)(C)C)C(=O)C1=O)O,"AR,SCN5A,SLC6A4,RXRA,ADRA1B,PTGS1,OPRM1,ESR1,GABRA1,CHRM1,GSK3B,PTGS2,OPRD1,ADRA1A,CHRM2,CHRM4,CHRM3,CCNA2,ADRA1D,ADRB2,carbonic,SLC6A3",,"CDC25A,CDC25B,CES2","CES2,AR,CDC25B,SCN5A,SLC6A4,RXRA,ADRA1B,PTGS1,ADRA1A,OPRM1,ESR1,CHRM2,CHRM4,CHRM3,CCNA2,GABRA1,ADRA1D,CHRM1,GSK3B,PTGS2,ADRB2,carbonic,CDC25A,SLC6A3,OPRD1",CHEMBL1813345
166,TCMSP,danshen,neocryptotanshinone,MOL007125,184103,Exist,,CC(CO)C1=C(C2=C(C3=C(C=C2)C(CCC3)(C)C)C(=O)C1=O)O,"NCOA2,CHRM3,ADRA1D,SCN5A,ADRA1B,CHRM1,PTGS1,PTGS2,OPRM1,carbonic,ADRB2,NCOA1",,"CDC25A,CDC25B","NCOA2,CHRM3,CDC25B,SCN5A,ADRA1D,ADRA1B,CHRM1,PTGS1,CDC25A,PTGS2,OPRM1,carbonic,ADRB2,NCOA1",CHEMBL1209715
168,TCMSP,danshen,"1-methyl-8,9-dihydro-7H-naphtho[5,6-g]benzofuran-6,10,11-trione",MOL007127,NO,,,,"ACHE,CHRM3,OPRM1,GABRA1,SCN5A,RXRA,PTGS1,PTGS2,ADRA1A,CHRM5,carbonic,ADRB2,NCOA1",,,"ACHE,CHRM3,GABRA1,SCN5A,RXRA,CHRM5,PTGS1,PTGS2,ADRA1A,OPRM1,carbonic,ADRB2,NCOA1",
171,TCMSP,danshen,prolithospermic acid,MOL007130,NO,,,,"PRSS1,AR,PTGS1,PTGS2,ESR1",,,"PRSS1,AR,PTGS1,PTGS2,ESR1",
173,TCMSP,danshen,"(2R)-3-(3,4-dihydroxyphenyl)-2-[(Z)-3-(3,4-dihydroxyphenyl)acryloyl]oxy-propionic acid",MOL007132,NO,,,,"CCNA2,PRSS1,AR,PTGS2,ESR1",,,"CCNA2,PRSS1,AR,PTGS2,ESR1",
175,TCMSP,danshen,danshensu,MOL007134,11600642,Exist,,C1=CC(=C(C=C1CC(C(=O)O)O)O)O,"ACHE,HEL-S-44,RELA,ADRA2B,CTRB1,MAOB,ADRA1D,ADRA2A,PTGS1,LTA4H,COL3A1,PTGS2,NF1,ADRB1,ADRB2,COL1A1,ADRA2C,TIMP1",,FYN,"ACHE,HEL-S-44,ADRA2B,MAOB,PTGS1,ADRB2,COL1A1,ADRA2C,FYN,TIMP1,RELA,CTRB1,ADRA1D,ADRA2A,LTA4H,COL3A1,PTGS2,NF1,ADRB1",CHEMBL4218391
181,TCMSP,danshen,"(Z)-3-[2-[(E)-2-(3,4-dihydroxyphenyl)vinyl]-3,4-dihydroxy-phenyl]acrylic acid",MOL007140,NO,,,,,,,,
182,TCMSP,danshen,salvianolic acid g,MOL007141,11530200,,,C1C(C(=O)C2=CC3=C(C(=C(C=C3)O)O)OC4=C(C=CC1=C24)O)C(=O)O,PTGS2,,,PTGS2,
183,TCMSP,danshen,salvianolic acid j,MOL007142,24177556,,,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC3=C(C=C2)OC(C(O3)C(=O)O)C4=CC(=C(C=C4)O)O)O)O,"F7,PRSS1",,"TTR,APP,CA7,AKR1B1,CA4","TTR,APP,F7,CA7,AKR1B1,CA4,PRSS1",
184,TCMSP,danshen,salvilenone £é,MOL007143,NO,,,,"ACHE,NCOA2,NR3C1,RXRA,PGR,PTGS2,NCOA1",,,"ACHE,NCOA2,NR3C1,RXRA,PGR,PTGS2,NCOA1",
186,TCMSP,danshen,salviolone,MOL007145,10355691,,,CC1=C(C(=O)C=C2C3=C(C=CC2=C1)C(CCC3)(C)C)O,"SCN5A,SLC6A4,GABRG3,ADRA1B,PTGS1,CHRM5,OPRM1,DRD5,GABRA1,ADRA2A,CHRM1,PTGS2,DRD2,OPRD1,ACHE,ADRA2B,GABRE,CHRNA2,ADRA1A,CHRM2,CHRM4,CHRM3,HTR3A,ADRB2,SLC6A3,SLC6A2",,,"ACHE,ADRA2B,GABRE,CHRNA2,SCN5A,SLC6A4,ADRA1B,GABRG3,PTGS1,ADRA1A,OPRM1,CHRM5,CHRM2,CHRM4,CHRM3,HTR3A,DRD5,GABRA1,ADRA2A,CHRM1,PTGS2,DRD2,ADRB2,SLC6A3,SLC6A2,OPRD1",
189,TCMSP,danshen,shanzhiside methyl ester_qt,MOL007148,NO,,,,"carbonic,GRIA2,PRSS1,PTGS2",,,"carbonic,PTGS2,PRSS1,GRIA2",
190,TCMSP,danshen,NSC 122421,MOL007149,94162,Exist,,CC(C)C1=C(C=C2C(=C1)C(=O)CC3C2(CCCC3(C)C)C)O,,,,,CHEMBL195296
191,TCMSP,danshen,"(6S)-6-hydroxy-1-methyl-6-methylol-8,9-dihydro-7H-naphtho[8,7-g]benzofuran-10,11-quinone",MOL007150,NO,,,,"ACHE,PRSS1,PTGS2,carbonic,NCOA1",,,"ACHE,PRSS1,PTGS2,carbonic,NCOA1",
192,TCMSP,danshen,Tanshindiol B,MOL007151,5321620,Exist,,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCC(C4(C)O)O,"carbonic,PTGS2,NCOA1,ACHE","SUZ12,EED,EZH2","EED,SUZ12,RBBP7,EZH2,PTPN6,RBBP4,CES2","ACHE,EED,SUZ12,RBBP7,PTGS2,EZH2,PTPN6,carbonic,RBBP4,CES2,NCOA1",CHEMBL3287733
193,TCMSP,danshen,Przewaquinone E,MOL007152,126072,Exist,,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCC(C4(C)O)O,"carbonic,PTGS2,NCOA1,ACHE","EED,SUZ12,RBBP7,RBBP4,EZH2","EED,SUZ12,RBBP7,EZH2,PTPN6,RBBP4,CES2","ACHE,EED,SUZ12,RBBP7,PTPN6,PTGS2,RBBP4,EZH2,carbonic,CES2,NCOA1",CHEMBL3287734
195,TCMSP,danshen,tanshinone iia,MOL007154,164676,Exist,,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,"MYC,MMP9,NPM1,SCN5A,RXRA,EDNRA,FOS,OPRM1,CHRM5,EDN3,CYP1A1,RELA,NR1I2,FASN,NFKBIA,CHRM1,ECE1,PTGS2,ITGB3,CDKN1A,OPRD1,ACHE,AHSA1,CASP3,ADRA1A,NCOA1,CALCR,CHRM2,CHRM4,CHRM3,CYP3A4,TP53,ADRB2,JUN,CYP1A2,BCL2","STK33,EIF4H,CES1,AR,PAFAH1B2,MITF,TERT,VDR,APEX1,DAGLB,PLA2G7,PAFAH2,HIF1A,SUZ12,MDM4,FASN,HPGD,PABPC1,BAZ2B,PIP4K2A,EZH2,KAT2A,MDM2,DNMT1,POLB,EED,TRA,ABCB1,CASP3,SENP8,APAF1,POLH,AKR1B1,PTPN6,TDP1,CFTR,ALDH1A1,MAPT,PTPN11,GAPDH,EPAS1,HTRA1,MGLL,CASP9,CES2","EED,PTPN11,CES1,SUZ12,APAF1,RBBP7,AKR1B1,EZH2,PTPN6,RBBP4,CES2,TERT","EIF4H,CES1,AR,FOS,MITF,EDN3,VDR,APEX1,RELA,PLA2G7,PAFAH2,HIF1A,NR1I2,CHRM1,PIP4K2A,PTGS2,EZH2,ITGB3,EED,ABCB1,SENP8,POLH,AKR1B1,ADRA1A,TDP1,RBBP4,CALCR,CFTR,CHRM2,CHRM4,ALDH1A1,CHRM3,CYP3A4,MGLL,CASP9,TP53,ADRB2,JUN,CES2,STK33,MYC,MMP9,NPM1,SCN5A,RXRA,EDNRA,PAFAH1B2,CHRM5,OPRM1,TERT,CYP1A1,DAGLB,SUZ12,MDM4,FASN,NFKBIA,HPGD,PABPC1,ECE1,BAZ2B,RBBP7,KAT2A,MDM2,CDKN1A,OPRD1,ACHE,DNMT1,POLB,TRA,AHSA1,CASP3,APAF1,PTPN6,NCOA1,MAPT,PTPN11,GAPDH,EPAS1,HTRA1,CYP1A2,BCL2",CHEMBL187266
196,TCMSP,danshen,"(6S)-6-(hydroxymethyl)-1,6-dimethyl-8,9-dihydro-7H-naphtho[8,7-g]benzofuran-10,11-dione",MOL007155,NO,,,,"ACHE,SCN5A,CHRM1,PTGS2,NCOA1,ADRA1A,OPRM1,ADRB2,PRSS1,OPRD1",,,"ACHE,PRSS1,SCN5A,CHRM1,PTGS2,ADRA1A,OPRM1,ADRB2,NCOA1,OPRD1",
197,TCMSP,danshen,tanshinone £î,MOL007156,NO,,,,"NCOA2,AR,SCN5A,PTGS1,PTGS2,ESR1,NCOA1",,,"NCOA2,AR,SCN5A,PTGS1,PTGS2,NCOA1,ESR1",
201,TCMSP,danshen,beta-cadinol,MOL007160,12302231,,,CC1=CCC2C(C1)C(CCC2(C)O)C(C)C,"CHRM3,GABRA1,ADRA1B,CHRM1,SLC6A2,CHRM2",,,"CHRM3,GABRA1,ADRA1B,CHRM1,SLC6A2,CHRM2",
203,TCMSP,sanqi,alloaromadedrene,MOL000066,91354,,,CC1CCC2C1C3C(C3(C)C)CCC2=C,"CHRM3,CHRNA2,GABRA1,CHRM1,CHRM2",,,"CHRM3,CHRNA2,GABRA1,CHRM1,CHRM2",
