Gene,org_score_in_DisGeNET,score_in_DisGeNET,org_score_in_GeneCards,score_in_GeneCards,org_score_in_CTD,score_in_CTD,avg_score
lnc-SYTL2-4,0,0,0.69,0.005175129,0,0,0.001725043
BBS2,0,0,0,0,17.74,0.086120685,0.028706895
TSPAN7B,0,0,0,0,4.05,0.019661149,0.006553716
MIR6745,0,0,0.69,0.005175129,0,0,0.001725043
TASP1,0,0,0.36,0.002700068,8.49,0.041215593,0.014638554
PSMA5,0,0,14.85,0.111377784,11.11,0.053934657,0.055104147
CSTF2,0,0,0.91,0.006825171,11.15,0.054128841,0.020318004
TNFRSF10D,0,0,0,0,12.88,0.062527307,0.020842436
HOXC13A,0,0,0,0,3.48,0.016894024,0.005631341
VMN2R76,0,0,0,0,3.45,0.016748386,0.005582795
MAFBB,0,0,0,0,3.58,0.017379484,0.005793161
FAM53B,0,0,0,0,4.92,0.023884655,0.007961552
RNA5SP506,0,0,0,0,3.87,0.01878732,0.00626244
MALINC1,0,0,0,0,3.42,0.016602748,0.005534249
GDPGP1,0,0,0,0,5.8,0.028156707,0.009385569
KIAA1191,0,0,2.34,0.017550439,2.76,0.013398709,0.010316383
LURAP1L,0,0,0.36,0.002700068,12.28,0.059614544,0.020771537
DOC2B,0,0,0,0,8.48,0.041167047,0.013722349
KLRA16,0,0,0,0,2.33,0.011311229,0.00377041
SAC3D1,0,0,0,0,33.72,0.163697267,0.054565756
H2AFY2,0,0,0,0,3.24,0.015728919,0.005242973
OR7E89P,0,0,0.69,0.005175129,0,0,0.001725043
LDB2,0,0,0,0,4.46,0.021651536,0.007217179
CCL6,0,0,0,0,22.36,0.108548959,0.036182986
TRAPPC8,0,0,0,0,2.5,0.012136511,0.004045504
SPP2,0,0,0,0,14.52,0.070488859,0.023496286
ENSG00000251205,0,0,0.69,0.005175129,0,0,0.001725043
SPTB,0,0,0.91,0.006825171,4.61,0.022379727,0.009734966
NBPF10,0,0,0,0,5.63,0.027331424,0.009110475
LINC01262,0,0,1.73,0.012975324,0,0,0.004325108
BVES-AS1,0,0,0,0,3.96,0.019224234,0.006408078
TCF7L1B,0,0,0,0,3.39,0.01645711,0.005485703
RAS,0,0,0,0,6.41,0.031118015,0.010372672
SH3TC1,0,0,0,0,18.19,0.088305258,0.029435086
RAB18,0,0,0,0,10.7,0.051944269,0.017314756
PCBP2,0,0,0.33,0.002475062,6.84,0.033205495,0.011893519
SOWAHB,0,0,0,0,5.21,0.02529249,0.00843083
BORA,0,0,0,0,6.87,0.033351134,0.011117045
GALM,0,0,0,0,15.81,0.076751299,0.025583766
MBD5,0,0,4.9,0.036750919,8.36,0.040584494,0.025778471
MRGBP,0,0,0,0,6.32,0.030681101,0.010227034
DNAH10,0,0,0,0,9.22,0.044759454,0.014919818
CAR14,0,0,0,0,4.46,0.021651536,0.007217179
BROX,0,0,0,0,5.43,0.026360503,0.008786834
PAH,0,0,3.09,0.023175579,16.92,0.08213991,0.035105163
TEX261,0,0,0,0,4.87,0.023641924,0.007880641
TRMT10B,0,0,0,0,9.24,0.044856546,0.014952182
SPDYE4,0,0,0,0,3.06,0.01485509,0.004951697
UBE2E3,0,0,1.73,0.012975324,5.33,0.025875042,0.012950122
PRAMEF17,0,0,0.09,0.000675017,0,0,0.000225006
CAP2,0,0,0,0,19.77,0.095975533,0.031991844
KCNE5,0,0,0.36,0.002700068,6.79,0.032962765,0.011887611
HNRNPUL1,0,0,0.78,0.005850146,8.14,0.039516481,0.015122209
MIR6409,0,0,0,0,4.42,0.021457352,0.007152451
ZFP599,0,0,0,0,2.99,0.014515268,0.004838423
STOML1,0,0,0.36,0.002700068,2.37,0.011505413,0.00473516
PROSER2,0,0,0.36,0.002700068,10.9,0.05291519,0.018538419
SCD3,0,0,0,0,5.48,0.026603233,0.008867744
CTAGE7P,0,0,0,0,10.55,0.051216078,0.017072026
KIRREL3,0,0,0,0,7.75,0.037623186,0.012541062
piR-48301-221,0,0,0.69,0.005175129,0,0,0.001725043
POLR2K,0,0,0.36,0.002700068,8.95,0.043448711,0.015382926
KRTAP8-1,0,0,0,0,3.42,0.016602748,0.005534249
NT5M,0,0,0,0,9.56,0.04641002,0.015470007
NUDCD2,0,0,0,0,19.74,0.095829895,0.031943298
PHUM_PHUM596050,0,0,0,0,4.85,0.023544832,0.007848277
NOTCH1A,0,0,0,0,11.08,0.053789019,0.017929673
CD79A,0,0,0,0,11.39,0.055293946,0.018431315
ST3GAL6,0,0,0.36,0.002700068,6.15,0.029855818,0.010851962
RBP1,0,0,0,0,20.58,0.099907763,0.033302588
ITGAE,0,0,0,0,13.72,0.066605175,0.022201725
RBL1,0,0,0,0,20.78,0.100878683,0.033626228
CREM,0,0,1.33,0.009975249,26.43,0.128307199,0.046094149
RPS3,0,0,0.74,0.005550139,14.98,0.072721977,0.026090705
WNT2,0,0,1.09,0.008175204,4.29,0.020826254,0.009667153
NFKBIB,0,0,0.36,0.002700068,38.35,0.186174086,0.062958051
NLK,0,0,0,0,4.85,0.023544832,0.007848277
C19orf18,0,0,0.36,0.002700068,0,0,0.000900023
PDE1B,0,0,0.09,0.000675017,15.13,0.073450167,0.024708395
CTL-3,0,0,0,0,6.82,0.033108403,0.011036134
TNFAIP8,0,0,0,0,21.02,0.102043789,0.034014596
COL6A5,0,0,0,0,6.21,0.030147095,0.010049032
GYG,0,0,0,0,13.31,0.064614787,0.021538262
THAP7-AS1,0,0,0,0,3.01,0.01461236,0.004870787
GBP,0,0,0,0,2.63,0.01276761,0.00425587
SERPINA6,0,0,0.74,0.005550139,40.75,0.197825137,0.067791759
PDE6H,0,0,0.36,0.002700068,19.17,0.09306277,0.031920946
MIR8110,0,0,0,0,5.75,0.027913976,0.009304659
piR-34822-241,0,0,0.69,0.005175129,0,0,0.001725043
MIR3098,0,0,0,0,3.88,0.018835866,0.006278622
KIF20A,0,0,0,0,34.04,0.16525074,0.05508358
ICAM4,0,0,0,0,5.34,0.025923589,0.008641196
VSTM5,0,0,0,0,2.97,0.014418176,0.004806059
MIR6399,0,0,0,0,4.42,0.021457352,0.007152451
ZCCHC2,0,0,0.09,0.000675017,7.31,0.03548716,0.012054059
RGS20,0,0,0,0,10.58,0.051361717,0.017120572
GPSM1A,0,0,0,0,4.78,0.02320501,0.007735003
SSH3,0,0,0.36,0.002700068,9.03,0.043837079,0.015512382
TLCD3A,0,0,0,0,11.99,0.058206709,0.019402236
CLIC5,0,0,0,0,4.2,0.020389339,0.006796446
ATP7,0,0,0,0,3.74,0.018156221,0.006052074
TIMM17B,0,0,0.36,0.002700068,5.36,0.026020681,0.009573583
MIR518B,0,0,0,0,3.65,0.017719307,0.005906436
lnc-FAM83E-2,0,0,0.69,0.005175129,0,0,0.001725043
RDH14,0,0,0,0,16.05,0.077916404,0.025972135
lnc-COTL1-3,0,0,0.69,0.005175129,0,0,0.001725043
RGS14,0,0,0.36,0.002700068,5.35,0.025972135,0.009557401
MID1IP1,0,0,0.74,0.005550139,11.85,0.057527064,0.021025734
CENPJ,0,0,0.78,0.005850146,9.94,0.04825477,0.018034972
TMOD4,0,0,0.36,0.002700068,0,0,0.000900023
DEFB11,0,0,0,0,2.61,0.012670518,0.004223506
SPAG6,0,0,0.94,0.007050176,12,0.058255255,0.021768477
SDHA,0,0,1.09,0.008175204,29.41,0.142773921,0.050316375
PID1,0,0,0.54,0.004050101,9.32,0.045244915,0.016431672
SHARPIN,0,0,0,0,5.65,0.027428516,0.009142839
SLITRK6,0,0,0,0,8.35,0.040535948,0.013511983
ZFP239,0,0,0,0,2.49,0.012087965,0.004029322
PPIP5K1,0,0,0,0,5.23,0.025389582,0.008463194
GOLGA8EP,0,0,0,0,3.14,0.015243458,0.005081153
CRYGM2D18,0,0,0,0,3.87,0.01878732,0.00626244
MIR181A-1,0,0,0,0,3.46,0.016796932,0.005598977
RNF128A,0,0,0,0,3.3,0.016020195,0.005340065
STXBP4,0,0,0.09,0.000675017,4.74,0.023010826,0.007895281
MIR548E,0,0,0,0,3.88,0.018835866,0.006278622
WDR62,0,0,0,0,7.39,0.035875528,0.011958509
CDC27,0,0,0,0,16.52,0.080198068,0.026732689
DNAH7A,0,0,0,0,7.85,0.038108646,0.012702882
COL4A1,0,0,2.51,0.018825471,22.59,0.109665518,0.04283033
ARFRP1,0,0,0,0,2.1,0.01019467,0.003398223
C17ORF59,0,0,0,0,3.01,0.01461236,0.004870787
PCDH7,0,0,0.69,0.005175129,11.65,0.056556144,0.020577091
SAGE,0,0,0,0,4.08,0.019806787,0.006602262
MIR17,0,0,0,0,12.57,0.06102238,0.020340793
OR6C75,0,0,0,0,3.78,0.018350405,0.006116802
PRDX5,0,0,1.44,0.01080027,17.42,0.084567212,0.031789161
LMCD1,0,0,0.36,0.002700068,31.11,0.151026749,0.051242272
LRRTM4,0,0,0,0,6.16,0.029904364,0.009968121
C2ORF15,0,0,0,0,2.44,0.011845235,0.003948412
OFCC1,0,0,0.69,0.005175129,0,0,0.001725043
GPR156,0,0,0.69,0.005175129,3.06,0.01485509,0.00667674
MIR376A,0,0,0,0,11,0.053400651,0.017800217
TMEM179B,0,0,0,0,2.53,0.01228215,0.00409405
WFDC21P,0,0,0,0,2.57,0.012476334,0.004158778
AJAP1,0,0,0,0,8.45,0.041021409,0.013673803
RPL37A,0,0,0.91,0.006825171,9.84,0.047769309,0.01819816
OLFML3,0,0,3.88,0.029100728,14.04,0.068158648,0.032419792
DPYD,0,0,0,0,6.57,0.031894752,0.010631584
CLMP,0,0,0,0,20.58,0.099907763,0.033302588
MFAP4,0,0,0.69,0.005175129,8.49,0.041215593,0.015463574
TEX264,0,0,0,0,15,0.072819069,0.024273023
NARS1,0,0,0,0,12.88,0.062527307,0.020842436
DRG2,0,0,0,0,9.13,0.04432254,0.01477418
FOXB1A,0,0,0,0,3.92,0.01903005,0.00634335
SVIP,0,0,0,0,2.05,0.009951939,0.003317313
CLTC,0,0,0.86,0.006450161,15.75,0.076460022,0.027636728
SNRPE,0,0,0.74,0.005550139,21.37,0.1037429,0.036431013
PCDHB4,0,0,0,0,5.5,0.026700325,0.008900108
MMP19,0,0,0.86,0.006450161,19.59,0.095101704,0.033850622
C11ORF80,0,0,0,0,6.13,0.029758726,0.009919575
GST-1,0,0,0,0,19.61,0.095198796,0.031732932
CLEC12A,0,0,0.74,0.005550139,3.27,0.015874557,0.007141565
OLR1394,0,0,0,0,3.39,0.01645711,0.005485703
KCNK13,0,0,0,0,8.79,0.042671974,0.014223991
CCDC70,0,0,0,0,2.73,0.013253071,0.00441769
RAB40B,0,0,0.36,0.002700068,7.26,0.035244429,0.012648166
CES2C,0,0,0,0,7.27,0.035292975,0.011764325
C3ORF52,0,0,0,0,8.56,0.041555415,0.013851805
BSPRY,0,0,0,0,1.81,0.008786834,0.002928945
TRAPPC6A,0,0,1.27,0.009525238,13.95,0.067721734,0.025748991
RBP4L,0,0,0,0,3.48,0.016894024,0.005631341
SAMD13,0,0,0,0,5.53,0.026845963,0.008948654
PAK4,0,0,0.38,0.002850071,11.43,0.05548813,0.019446067
ANLN,0,0,0,0,23.08,0.112044274,0.037348091
RBBP5,0,0,0,0,8.55,0.041506869,0.013835623
BUD31,0,0,0.36,0.002700068,10.81,0.052478276,0.018392781
ANKRD53,0,0,0,0,10.75,0.052186999,0.017395666
DDX54,0,0,0.94,0.007050176,8.19,0.039759212,0.015603129
TAGLN2,0,0,0.36,0.002700068,13.06,0.063401136,0.022033735
MTRNR2L8,0,0,1.16,0.008700218,0,0,0.002900073
HOXA11,0,0,0,0,1.99,0.009660663,0.003220221
C1ORF131,0,0,0,0,10.35,0.050245158,0.016748386
LINC01099,0,0,0.69,0.005175129,0,0,0.001725043
ENSG00000243312,0,0,0.69,0.005175129,0,0,0.001725043
GPAM,0,0,1.22,0.009150229,50.29,0.244138065,0.084429431
PCDHB14,0,0,0,0,2.22,0.010777222,0.003592407
MIR124-2,0,0,2.64,0.019800495,0,0,0.006600165
COX7A1,0,0,1.05,0.007875197,13.13,0.063740958,0.023872052
RGS16,0,0,0,0,35.93,0.174425943,0.058141981
GDF9,0,0,0,0,7.75,0.037623186,0.012541062
ILF3,0,0,1.43,0.010725268,15.11,0.073353075,0.028026114
ZNF138,0,0,0,0,2.64,0.012816156,0.004272052
EEF2KMT,0,0,0,0,5.05,0.024515753,0.008171918
GPR78,0,0,2.81,0.021075527,7.11,0.034516239,0.018530589
NDUFC2-KCTD14,0,0,0.96,0.00720018,0,0,0.00240006
FKBP7,0,0,0,0,11.04,0.053594835,0.017864945
GPR108,0,0,0,0,9.08,0.04407981,0.01469327
PPFIBP2,0,0,0.38,0.002850071,9.57,0.046458566,0.016436212
DOP-1,0,0,0,0,6.82,0.033108403,0.011036134
LIN7B,0,0,0,0,2.34,0.011359775,0.003786592
MSL1,0,0,0,0,4.82,0.023399194,0.007799731
NFU1P1,0,0,0.69,0.005175129,0,0,0.001725043
H3C12,0,0,0,0,12.95,0.062867129,0.02095571
AK2,0,0,0,0,30.44,0.147774164,0.049258055
UQCR,0,0,0,0,7.36,0.03572989,0.011909963
PLPPR5,0,0,0,0,6.57,0.031894752,0.010631584
MIR324,0,0,0.2,0.001500038,12.55,0.060925288,0.020808442
TMEM161A,0,0,0,0,5.25,0.025486674,0.008495558
DIP2C-AS1,0,0,0.69,0.005175129,3.29,0.015971649,0.007048926
RGP1,0,0,0,0,2.09,0.010146124,0.003382041
SLC25A21,0,0,0,0,8.14,0.039516481,0.01317216
CLCN6,0,0,0,0,10.94,0.053109374,0.017703125
NAGK,0,0,0,0,7.11,0.034516239,0.011505413
ENSG00000224016,0,0,0.69,0.005175129,0,0,0.001725043
ENSG00000253200,0,0,0.69,0.005175129,0,0,0.001725043
ENSG00000250354,0,0,0.69,0.005175129,0,0,0.001725043
ECI3,0,0,0,0,5.48,0.026603233,0.008867744
HCH-1,0,0,0,0,3.07,0.014903636,0.004967879
SLITRK4,0,0,0,0,8.22,0.03990485,0.013301617
PRDM12,0,0,0,0,9.41,0.045681829,0.015227276
COL4A2,0,0,2.51,0.018825471,13.89,0.067430458,0.028751976
MER,0,0,0,0,3.85,0.018690228,0.006230076
XKR6,0,0,0,0,9.68,0.046992572,0.015664191
CNOT2,0,0,0.09,0.000675017,5.49,0.026651779,0.009108932
TRIM34A,0,0,0,0,2.84,0.013787077,0.004595692
MARCHF9,0,0,0,0,2.6,0.012621972,0.004207324
CAVIN2,0,0,0,0,21.42,0.10398563,0.034661877
SLC22A28,0,0,0,0,6.44,0.031263654,0.010421218
TUBA2,0,0,0,0,2.37,0.011505413,0.003835138
ARHGEF39,0,0,0,0,10.71,0.051992815,0.017330938
ANKIB1B,0,0,0,0,4.95,0.024030293,0.008010098
CPAP3-D2,0,0,0,0,4.36,0.021166076,0.007055359
CYP4F4,0,0,0,0,5.14,0.024952668,0.008317556
BSDC1,0,0,0,0,11.43,0.05548813,0.018496043
MIR679,0,0,0,0,4.18,0.020292247,0.006764082
DBT,0,0,0.74,0.005550139,18.98,0.092140395,0.032563511
ENSG00000274879,0,0,0.69,0.005175129,0,0,0.001725043
C9ORF85,0,0,0,0,9.35,0.045390553,0.015130184
BLVRB,0,0,14.32,0.107402685,12.98,0.063012768,0.056805151
ARL8A,0,0,0,0,8.23,0.039953396,0.013317799
NUP214,0,0,0,0,5.09,0.024709937,0.008236646
RUBCN,0,0,0.09,0.000675017,0,0,0.000225006
AKAP3,0,0,0,0,3,0.014563814,0.004854605
COQ8A,0,0,0,0,26.11,0.126753726,0.042251242
RHBDL1,0,0,0,0,2.15,0.0104374,0.003479133
GGH,0,0,0.29,0.002175054,12.13,0.058886354,0.020353803
PTTG3P,0,0,0,0,2.94,0.014272538,0.004757513
C2orf92,0,0,0.69,0.005175129,0,0,0.001725043
WDR20,0,0,0,0,13.74,0.066702267,0.022234089
KDM5C,0,0,0,0,1.99,0.009660663,0.003220221
EXO5,0,0,0,0,4.83,0.02344774,0.007815913
CYP4Z1,0,0,0,0,3.57,0.017330938,0.005776979
RPL15P20,0,0,0,0,3.42,0.016602748,0.005534249
IKBIP,0,0,0.36,0.002700068,13.4,0.065051702,0.022583923
TYW3,0,0,0,0,2.33,0.011311229,0.00377041
EMSY,0,0,0,0,2.36,0.011456867,0.003818956
MRPS26,0,0,0.74,0.005550139,22.69,0.110150978,0.038567039
KNOP1,0,0,1.43,0.010725268,12.32,0.059808729,0.023511332
CIR,0,0,0,0,3.13,0.015194912,0.005064971
SNN,0,0,0,0,10.69,0.051895723,0.017298574
PIP5K1P1,0,0,0,0,3.24,0.015728919,0.005242973
SLC6A19A.1,0,0,0,0,2.8,0.013592893,0.004530964
GPSM1,0,0,0,0,14.6,0.070877227,0.023625742
RDH10,0,0,0,0,12.74,0.061847663,0.020615888
CAPRIN2,0,0,0,0,15.67,0.076071654,0.025357218
CAR2,0,0,0,0,9.1,0.044176902,0.014725634
VSIG10L,0,0,0,0,12.57,0.06102238,0.020340793
RPL36A,0,0,0.74,0.005550139,7.41,0.03597262,0.01384092
MUCL1,0,0,0,0,9.58,0.046507112,0.015502371
SCNM1,0,0,0,0,9.54,0.046312928,0.015437643
NRXN3A,0,0,0,0,3.58,0.017379484,0.005793161
LINC02868,0,0,0,0,4.33,0.021020438,0.007006813
RF00026-197,0,0,0.69,0.005175129,0,0,0.001725043
GSTM2P1,0,0,0,0,3.98,0.019321326,0.006440442
SYT8,0,0,0,0,8.54,0.041458323,0.013819441
SRRM3,0,0,0,0,8.92,0.043303073,0.014434358
DERL3,0,0,0,0,13.48,0.06544007,0.021813357
CMLC1,0,0,0,0,2.97,0.014418176,0.004806059
C8ORF88,0,0,0,0,2.69,0.013058886,0.004352962
MIR7015,0,0,0,0,4.08,0.019806787,0.006602262
LRATD2,0,0,0,0,7.09,0.034419147,0.011473049
MIR467G,0,0,0,0,4.42,0.021457352,0.007152451
MIR5622,0,0,0,0,4.08,0.019806787,0.006602262
ANP32B-PS1,0,0,0,0,3.76,0.018253313,0.006084438
ZFP92,0,0,0,0,2.88,0.013981261,0.00466042
TMEM164,0,0,0,0,4.86,0.023593378,0.007864459
DYNC1LI1,0,0,0,0,8.43,0.040924317,0.013641439
H2AB1,0,0,0,0,3.88,0.018835866,0.006278622
lnc-TMEM232-6,0,0,0.69,0.005175129,0,0,0.001725043
NXPH1,0,0,0.29,0.002175054,16.33,0.079275693,0.027150249
PGLS,0,0,0,0,13.89,0.067430458,0.022476819
SLC2A11L,0,0,0,0,3.52,0.017088208,0.005696069
PLEKHB2,0,0,0,0,11.18,0.054274479,0.018091493
B4GALT1L,0,0,0,0,4.67,0.022671003,0.007557001
KCNAB3,0,0,0.36,0.002700068,0,0,0.000900023
TBR1,0,0,0,0,3.84,0.018641682,0.006213894
LDB3,0,0,0.78,0.005850146,1.84,0.008932472,0.004927539
RNU6ATAC,0,0,0,0,3.01,0.01461236,0.004870787
RF00017-2576,0,0,0.69,0.005175129,0,0,0.001725043
CRKL,0,0,0,0,4.44,0.021554444,0.007184815
SNORD115-7,0,0,0,0,3.62,0.017573669,0.00585789
ZBTB1,0,0,0,0,10.44,0.050682072,0.016894024
PHKA1,0,0,0,0,4.76,0.023107918,0.007702639
MIR7020,0,0,0,0,4.08,0.019806787,0.006602262
C10ORF143,0,0,0,0,2.92,0.014175445,0.004725148
CYP3A9,0,0,0,0,4.31,0.020923346,0.006974449
GNAS-AS1,0,0,0,0,2.84,0.013787077,0.004595692
STAM,0,0,0.78,0.005850146,4.62,0.022428273,0.00942614
MIR3113,0,0,0,0,4.72,0.022913734,0.007637911
TMEM141,0,0,0,0,8.61,0.041798146,0.013932715
ZBED2,0,0,0,0,2.86,0.013884169,0.004628056
RF00017-6891,0,0,0.69,0.005175129,0,0,0.001725043
SPEG,0,0,0.36,0.002700068,17.63,0.085586679,0.029428916
PPIE,0,0,0,0,5.57,0.027040148,0.009013383
SATB2,0,0,2.45,0.018375459,1.74,0.008447012,0.008940824
LIPF,0,0,1.08,0.008100203,17.28,0.083887567,0.03066259
IFNA21,0,0,0.29,0.002175054,0,0,0.000725018
PMPCA,0,0,3.47,0.026025651,7.81,0.037914462,0.021313371
SCAND1,0,0,0,0,11.35,0.055099762,0.018366587
lnc-USP48-7,0,0,0.69,0.005175129,0,0,0.001725043
TMX3A,0,0,0,0,3.98,0.019321326,0.006440442
TTC39B,0,0,0,0,4.26,0.020680616,0.006893539
OLR530,0,0,0,0,3.28,0.015923103,0.005307701
TSEN15,0,0,0.69,0.005175129,18.53,0.089955823,0.031710317
LRRC41,0,0,0,0,5.1,0.024758483,0.008252828
OR4C13,0,0,0,0,3.71,0.018010583,0.006003528
MDP1,0,0,0,0,8.59,0.041701053,0.013900351
ITIH3,0,0,2.45,0.018375459,8.91,0.043254527,0.020543329
MIR674,0,0,0,0,10.8,0.05242973,0.017476577
SSR4,0,0,0.09,0.000675017,18.19,0.088305258,0.029660092
KBTBD3,0,0,0,0,5.43,0.026360503,0.008786834
RF00017-4876,0,0,0.69,0.005175129,0,0,0.001725043
REXO4,0,0,0,0,2.33,0.011311229,0.00377041
FAM174A,0,0,0,0,8.42,0.040875771,0.013625257
F8,0,0,0,0,15.25,0.07403272,0.024677573
TRNAU1AP,0,0,0,0,5.98,0.029030535,0.009676845
ZFP26,0,0,0,0,2.56,0.012427788,0.004142596
CIAO2B,0,0,0.09,0.000675017,6.01,0.029176174,0.009950397
PPM1B,0,0,0,0,30.44,0.147774164,0.049258055
lnc-RFX3-5,0,0,0.69,0.005175129,0,0,0.001725043
TSC22D2,0,0,0,0,16.96,0.082334094,0.027444698
SYNPO2,0,0,0,0,1.93,0.009369387,0.003123129
ALX3,0,0,0,0,5.45,0.026457595,0.008819198
OLFR1259,0,0,0,0,3.67,0.017816399,0.0059388
PMS2P9,0,0,0,0,3.01,0.01461236,0.004870787
TOMM40L,0,0,0,0,8.03,0.038982475,0.012994158
ATG16L1,0,0,1.09,0.008175204,10.73,0.052089907,0.02008837
ASMTL-AS1,0,0,0,0,3.14,0.015243458,0.005081153
MIR5104,0,0,0,0,4.42,0.021457352,0.007152451
TLR22,0,0,0,0,4.85,0.023544832,0.007848277
GZMM,0,0,0,0,2.19,0.010631584,0.003543861
SPATA13,0,0,0,0,16.44,0.079809699,0.026603233
piR-42491-133,0,0,0.69,0.005175129,0,0,0.001725043
ATP6V1C2,0,0,0,0,7.4,0.035924074,0.011974691
DEFB29,0,0,0,0,3.24,0.015728919,0.005242973
ITGA2B,0,0,0.86,0.006450161,22.11,0.107335308,0.03792849
TRMT61B,0,0,0,0,6.12,0.02971018,0.009903393
ENTPD7,0,0,0.74,0.005550139,11.31,0.054905578,0.020151906
N4BP1,0,0,0,0,7.53,0.036555173,0.012185058
DISP1,0,0,0,0,7.64,0.037089179,0.01236306
ZNF284,0,0,0.69,0.005175129,4.41,0.021408806,0.008861312
SPEER5-PS1,0,0,0,0,8.01,0.038885383,0.012961794
OLR1087,0,0,0,0,3.53,0.017136754,0.005712251
WBP2NL,0,0,0,0,11.77,0.057138696,0.019046232
GABRA5,0,0,2.45,0.018375459,6.97,0.033836594,0.017404018
MMP23A,0,0,0,0,3.62,0.017573669,0.00585789
MS4A6C,0,0,0,0,9.01,0.043739987,0.014579996
PCNX1,0,0,1.47,0.011025276,3.03,0.014709452,0.008578243
SLC43A2A,0,0,0,0,7.18,0.034856061,0.011618687
ZC3H8,0,0,0.74,0.005550139,11.61,0.056361959,0.020637366
DIRAS1,0,0,0.36,0.002700068,11.53,0.055973591,0.019557886
GGTLC1,0,0,0,0,7.31,0.03548716,0.011829053
TSPAN18A,0,0,0,0,3.7,0.017962037,0.005987346
PHLDA3,0,0,0.36,0.002700068,18.68,0.090684014,0.031128027
MYBPC2,0,0,0,0,5.02,0.024370115,0.008123372
PP7080,0,0,0,0,2.99,0.014515268,0.004838423
LRRC63,0,0,0,0,2.9,0.014078353,0.004692784
UBA7,0,0,0,0,16.2,0.078644594,0.026214865
C5AR2,0,0,0.29,0.002175054,12.34,0.059905821,0.020693625
FAUB,0,0,0,0,3.3,0.016020195,0.005340065
GNG4,0,0,0.2,0.001500038,10.82,0.052526822,0.018008953
RFX4,0,0,0.09,0.000675017,10.51,0.051021894,0.017232304
TPMA,0,0,0,0,2.75,0.013350163,0.004450054
RIMS1,0,0,0,0,7.44,0.036118258,0.012039419
ZNF232-AS1,0,0,0.69,0.005175129,0,0,0.001725043
D2ERTD295E,0,0,0,0,3.18,0.015437643,0.005145881
PLPP2,0,0,0,0,6.74,0.032720035,0.010906678
FANCA,0,0,0.09,0.000675017,15.1,0.073304529,0.024659849
GAGE12J,0,0,0,0,3.98,0.019321326,0.006440442
SLC28A1,0,0,1.43,0.010725268,7.91,0.038399922,0.016375063
USP16,0,0,4.24,0.031800795,18.3,0.088839264,0.040213353
SCARA3,0,0,0.69,0.005175129,12.23,0.059371814,0.021515648
ADD2,0,0,0.36,0.002700068,7.54,0.036603719,0.013101262
GFPT1,0,0,0.69,0.005175129,12.18,0.059129084,0.021434738
RCC2,0,0,0.74,0.005550139,16.87,0.081897179,0.029149106
MUC5.2,0,0,0,0,4.33,0.021020438,0.007006813
MCPT9,0,0,0,0,3.28,0.015923103,0.005307701
FZD8,0,0,0.96,0.00720018,12,0.058255255,0.021818478
EPC1,0,0,0.78,0.005850146,25.92,0.125831351,0.043893832
NACA4P,0,0,0,0,3.05,0.014806544,0.004935515
MCM3AP,0,0,0,0,5.52,0.026797417,0.008932472
PSMC5,0,0,1.05,0.007875197,24.55,0.119180543,0.042351913
B4GALT2,0,0,0,0,22.99,0.11160736,0.037202453
HNRNPABB,0,0,0,0,3.53,0.017136754,0.005712251
NRP,0,0,0,0,3.51,0.017039662,0.005679887
TIGD2,0,0,0,0,8.27,0.04014758,0.013382527
HTR1D,0,0,2.45,0.018375459,17.86,0.086703238,0.035026232
PFKFB4,0,0,0,0,14.34,0.06961503,0.02320501
CNDP1,0,0,0.49,0.003675092,7.7,0.037380455,0.013685182
MARVELD3,0,0,0,0,10.95,0.05315792,0.017719307
ZDHHC2,0,0,0,0,6.28,0.030486917,0.010162306
RIPPLY2,0,0,0,0,2.4,0.011651051,0.003883684
KCND2,0,0,0.18,0.001350034,12.91,0.062672945,0.021340993
ENSG00000250623,0,0,0.69,0.005175129,0,0,0.001725043
ENSG00000234255,0,0,0.69,0.005175129,0,0,0.001725043
LRRC37BP1,0,0,0,0,2.77,0.013447255,0.004482418
TXN1,0,0,0,0,19.22,0.0933055,0.031101833
FTH1P3,0,0,0,0,2.56,0.012427788,0.004142596
HMMR,0,0,0,0,15.46,0.075052187,0.025017396
SPATA32,0,0,0,0,6.99,0.033933686,0.011311229
lnc-RAPSN-1,0,0,0.69,0.005175129,0,0,0.001725043
NONHSAG026010.2,0,0,1.19,0.008925223,0,0,0.002975074
PRRG4,0,0,0,0,6.79,0.032962765,0.010987588
RSPH10B2,0,0,0.36,0.002700068,0,0,0.000900023
NCBP1,0,0,0.74,0.005550139,11.06,0.053691927,0.019747355
MRAP,0,0,0,0,10.64,0.051652993,0.017217664
MED19,0,0,0.36,0.002700068,0,0,0.000900023
ENSG00000285622,0,0,0.69,0.005175129,0,0,0.001725043
C2ORF76,0,0,0,0,6.12,0.02971018,0.009903393
MAT2AB,0,0,0,0,3.98,0.019321326,0.006440442
CYP19B,0,0,0,0,3.27,0.015874557,0.005291519
RPEP2,0,0,0.69,0.005175129,0,0,0.001725043
THOC4,0,0,0,0,2.91,0.014126899,0.004708966
DAF-12,0,0,0,0,3.78,0.018350405,0.006116802
LSP2,0,0,0,0,3.1,0.015049274,0.005016425
CCDC180,0,0,0,0,3.04,0.014757998,0.004919333
SLAMF8,0,0,0,0,5.74,0.02786543,0.009288477
E2F7,0,0,0.09,0.000675017,21.26,0.103208894,0.03462797
