Category,ID,Description,BgRatio,pvalue,padjust,qvalue,geneID,gene_name,rankScore,Count
BP,GO:0002548,monocyte chemotaxis,64/18493,9.80E-06,8.03E-05,2.79E-05,3569/6347/5054/7941,"IL6,CCL2,SERPINE1,PLA2G7",0.137925899,4
BP,GO:0042306,regulation of protein import into nucleus,64/18493,9.80E-06,8.03E-05,2.79E-05,5743/5594/3458/948,"PTGS2,MAPK1,IFNG,CD36",0.118174205,4
BP,GO:0045600,positive regulation of fat cell differentiation,64/18493,9.80E-06,8.03E-05,2.79E-05,3630/207/5743/5468,"INS,AKT1,PTGS2,PPARG",0.167923819,4
BP,GO:0051924,regulation of calcium ion transport,239/18493,9.99E-06,8.16E-05,2.84E-05,6347/5743/3383/4846/2147/596,"CCL2,PTGS2,ICAM1,NOS3,F2,BCL2",0.186234917,6
BP,GO:0050678,regulation of epithelial cell proliferation,368/18493,1.04E-05,8.45E-05,2.94E-05,207/6774/6347/7422/5468/3586/3162,"AKT1,STAT3,CCL2,VEGFA,PPARG,IL10,HMOX1",0.274535186,7
BP,GO:0051926,negative regulation of calcium ion transport,65/18493,1.04E-05,8.47E-05,2.95E-05,5743/3383/4846/596,"PTGS2,ICAM1,NOS3,BCL2",0.121238395,4
BP,GO:0070665,positive regulation of leukocyte proliferation,139/18493,1.05E-05,8.47E-05,2.95E-05,3569/3553/7412/959/596,"IL6,IL1B,VCAM1,CD40LG,BCL2",0.15923001,5
BP,GO:0043900,regulation of multi-organism process,371/18493,1.09E-05,8.83E-05,3.07E-05,3576/3586/4353/3458/4843/596/948,"CXCL8,IL10,MPO,IFNG,NOS2,BCL2,CD36",0.192674692,7
BP,GO:0032677,regulation of interleukin-8 production,66/18493,1.11E-05,8.92E-05,3.10E-05,1401/3553/3586/5054,"CRP,IL1B,IL10,SERPINE1",0.148653758,4
BP,GO:0043369,"CD4-positive or CD8-positive, alpha-beta T cell lineage commitment",21/18493,1.12E-05,9.02E-05,3.14E-05,3569/6774/596,"IL6,STAT3,BCL2",0.101944414,3
BP,GO:0031330,negative regulation of cellular catabolic process,245/18493,1.15E-05,9.19E-05,3.20E-05,3630/207/6774/3586/3162/596,"INS,AKT1,STAT3,IL10,HMOX1,BCL2",0.21473595,6
BP,GO:0051271,negative regulation of cellular component movement,374/18493,1.15E-05,9.19E-05,3.20E-05,207/6774/6347/5468/5054/3162/596,"AKT1,STAT3,CCL2,PPARG,SERPINE1,HMOX1,BCL2",0.240793593,7
BP,GO:1903672,positive regulation of sprouting angiogenesis,67/18493,1.18E-05,9.33E-05,3.25E-05,7422/5743/3586/3162,"VEGFA,PTGS2,IL10,HMOX1",0.146718178,4
BP,GO:1904589,regulation of protein import,67/18493,1.18E-05,9.33E-05,3.25E-05,5743/5594/3458/948,"PTGS2,MAPK1,IFNG,CD36",0.116291148,4
BP,GO:0010959,regulation of metal ion transport,376/18493,1.19E-05,9.43E-05,3.28E-05,207/6347/5743/3383/4846/2147/596,"AKT1,CCL2,PTGS2,ICAM1,NOS3,F2,BCL2",0.226805153,7
BP,GO:0008203,cholesterol metabolic process,144/18493,1.24E-05,9.80E-05,3.41E-05,847/5444/3156/1071/1080,"CAT,PON1,HMGCR,CETP,CFTR",0.094239285,5
BP,GO:0009408,response to heat,145/18493,1.28E-05,0.000101009,3.51E-05,207/5743/5594/4846/3162,"AKT1,PTGS2,MAPK1,NOS3,HMOX1",0.183177063,5
BP,GO:0050995,negative regulation of lipid catabolic process,22/18493,1.30E-05,0.000101839,3.54E-05,3630/207/3553,"INS,AKT1,IL1B",0.12865031,3
BP,GO:0002262,myeloid cell homeostasis,146/18493,1.33E-05,0.000103527,3.60E-05,3569/6774/7422/836/3162,"IL6,STAT3,VEGFA,CASP3,HMOX1",0.195288803,5
BP,GO:0010212,response to ionizing radiation,146/18493,1.33E-05,0.000103527,3.60E-05,7157/3383/7412/836/596,"TP53,ICAM1,VCAM1,CASP3,BCL2",0.156140647,5
BP,GO:0007259,JAK-STAT cascade,147/18493,1.37E-05,0.000106701,3.71E-05,3569/6774/6347/3458/2147,"IL6,STAT3,CCL2,IFNG,F2",0.183650847,5
BP,GO:0048662,negative regulation of smooth muscle cell proliferation,70/18493,1.40E-05,0.00010857,3.78E-05,5468/3586/3458/3162,"PPARG,IL10,IFNG,HMOX1",0.137243901,4
BP,GO:0040013,negative regulation of locomotion,386/18493,1.41E-05,0.000109218,3.80E-05,207/6774/6347/5468/5054/3162/596,"AKT1,STAT3,CCL2,PPARG,SERPINE1,HMOX1,BCL2",0.23632312,7
BP,GO:0018108,peptidyl-tyrosine phosphorylation,387/18493,1.44E-05,0.000110743,3.85E-05,3569/6774/7422/7157/3383/3458/948,"IL6,STAT3,VEGFA,TP53,ICAM1,IFNG,CD36",0.242697641,7
BP,GO:0001890,placenta development,149/18493,1.47E-05,0.000112303,3.91E-05,207/5743/5468/3586/5594,"AKT1,PTGS2,PPARG,IL10,MAPK1",0.186903037,5
BP,GO:1902652,secondary alcohol metabolic process,149/18493,1.47E-05,0.000112303,3.91E-05,847/5444/3156/1071/1080,"CAT,PON1,HMGCR,CETP,CFTR",0.092844351,5
BP,GO:0038034,signal transduction in absence of ligand,71/18493,1.48E-05,0.000112936,3.93E-05,207/3553/836/596,"AKT1,IL1B,CASP3,BCL2",0.126959246,4
BP,GO:0097192,extrinsic apoptotic signaling pathway in absence of ligand,71/18493,1.48E-05,0.000112936,3.93E-05,207/3553/836/596,"AKT1,IL1B,CASP3,BCL2",0.126959246,4
BP,GO:0051043,regulation of membrane protein ectodomain proteolysis,23/18493,1.49E-05,0.000113013,3.93E-05,3553/3586/3458,"IL1B,IL10,IFNG",0.106436495,3
BP,GO:0071404,cellular response to low-density lipoprotein particle stimulus,23/18493,1.49E-05,0.000113013,3.93E-05,5468/4023/948,"PPARG,LPL,CD36",0.068205338,3
BP,GO:0018212,peptidyl-tyrosine modification,390/18493,1.51E-05,0.000113814,3.96E-05,3569/6774/7422/7157/3383/3458/948,"IL6,STAT3,VEGFA,TP53,ICAM1,IFNG,CD36",0.24196877,7
BP,GO:0048545,response to steroid hormone,390/18493,1.51E-05,0.000113814,3.96E-05,3569/5743/5468/3586/3383/836/596,"IL6,PTGS2,PPARG,IL10,ICAM1,CASP3,BCL2",0.236512424,7
BP,GO:0097696,STAT cascade,151/18493,1.56E-05,0.000117414,4.08E-05,3569/6774/6347/3458/2147,"IL6,STAT3,CCL2,IFNG,F2",0.181729517,5
BP,GO:0061045,negative regulation of wound healing,72/18493,1.57E-05,0.000117414,4.08E-05,4846/5054/2147/3156,"NOS3,SERPINE1,F2,HMGCR",0.10472145,4
BP,GO:0030100,regulation of endocytosis,260/18493,1.61E-05,0.000119278,4.15E-05,6347/7422/3553/5468/5054/948,"CCL2,VEGFA,IL1B,PPARG,SERPINE1,CD36",0.19293417,6
BP,GO:0043270,positive regulation of ion transport,260/18493,1.61E-05,0.000119278,4.15E-05,207/6347/3553/2147/5243/1080,"AKT1,CCL2,IL1B,F2,ABCB1,CFTR",0.167705085,6
BP,GO:0045926,negative regulation of growth,260/18493,1.61E-05,0.000119278,4.15E-05,7157/5468/3586/4353/596/948,"TP53,PPARG,IL10,MPO,BCL2,CD36",0.163746046,6
BP,GO:0030168,platelet activation,152/18493,1.61E-05,0.000119278,4.15E-05,3569/5594/4846/959/2147,"IL6,MAPK1,NOS3,CD40LG,F2",0.161493539,5
BP,GO:0070555,response to interleukin-1,152/18493,1.61E-05,0.000119278,4.15E-05,3569/6347/3576/3553/3383,"IL6,CCL2,CXCL8,IL1B,ICAM1",0.196304717,5
BP,GO:0046883,regulation of hormone secretion,261/18493,1.65E-05,0.000121395,4.22E-05,3630/3553/3458/4843/3156/1080,"INS,IL1B,IFNG,NOS2,HMGCR,CFTR",0.169642238,6
BP,GO:1900371,regulation of purine nucleotide biosynthetic process,73/18493,1.66E-05,0.000121674,4.23E-05,3630/6774/4846/4843,"INS,STAT3,NOS3,NOS2",0.147084301,4
BP,GO:0022617,extracellular matrix disassembly,74/18493,1.75E-05,0.000127738,4.44E-05,4318/4313/4312/4314,"MMP9,MMP2,MMP1,MMP3",0.120838281,4
BP,GO:0030808,regulation of nucleotide biosynthetic process,74/18493,1.75E-05,0.000127738,4.44E-05,3630/6774/4846/4843,"INS,STAT3,NOS3,NOS2",0.146290703,4
BP,GO:0043542,endothelial cell migration,266/18493,1.83E-05,0.000133684,4.65E-05,207/7422/5743/5468/4846/3162,"AKT1,VEGFA,PTGS2,PPARG,NOS3,HMOX1",0.216364304,6
BP,GO:1903201,regulation of oxidative stress-induced cell death,75/18493,1.84E-05,0.000134006,4.66E-05,3630/207/3586/4314,"INS,AKT1,IL10,MMP3",0.148251572,4
BP,GO:0051047,positive regulation of secretion,404/18493,1.90E-05,0.000137506,4.78E-05,3569/3630/3553/3586/3458/4023/1080,"IL6,INS,IL1B,IL10,IFNG,LPL,CFTR",0.228844542,7
BP,GO:0002440,production of molecular mediator of immune response,268/18493,1.91E-05,0.000138213,4.81E-05,3569/3553/3586/3162/959/948,"IL6,IL1B,IL10,HMOX1,CD40LG,CD36",0.181134933,6
BP,GO:0019430,removal of superoxide radicals,25/18493,1.93E-05,0.000138213,4.81E-05,4846/4353/948,"NOS3,MPO,CD36",0.074624811,3
BP,GO:0030194,positive regulation of blood coagulation,25/18493,1.93E-05,0.000138213,4.81E-05,5054/2147/948,"SERPINE1,F2,CD36",0.06330931,3
BP,GO:0032461,positive regulation of protein oligomerization,25/18493,1.93E-05,0.000138213,4.81E-05,7157/4312/4314,"TP53,MMP1,MMP3",0.090678185,3
BP,GO:1900048,positive regulation of hemostasis,25/18493,1.93E-05,0.000138213,4.81E-05,5054/2147/948,"SERPINE1,F2,CD36",0.06330931,3
BP,GO:0015718,monocarboxylic acid transport,158/18493,1.95E-05,0.000138495,4.82E-05,207/3553/5468/4843/948,"AKT1,IL1B,PPARG,NOS2,CD36",0.149371577,5
BP,GO:0090316,positive regulation of intracellular protein transport,158/18493,1.95E-05,0.000138495,4.82E-05,7157/3553/5743/5594/3458,"TP53,IL1B,PTGS2,MAPK1,IFNG",0.177394877,5
BP,GO:0030193,regulation of blood coagulation,77/18493,2.05E-05,0.000144856,5.04E-05,4846/5054/2147/948,"NOS3,SERPINE1,F2,CD36",0.09595225,4
BP,GO:1900046,regulation of hemostasis,77/18493,2.05E-05,0.000144856,5.04E-05,4846/5054/2147/948,"NOS3,SERPINE1,F2,CD36",0.09595225,4
BP,GO:0051348,negative regulation of transferase activity,274/18493,2.17E-05,0.000152779,5.32E-05,207/7157/3553/5468/836/3156,"AKT1,TP53,IL1B,PPARG,CASP3,HMGCR",0.198797934,6
BP,GO:0002360,T cell lineage commitment,26/18493,2.18E-05,0.000152779,5.32E-05,3569/6774/596,"IL6,STAT3,BCL2",0.096173063,3
BP,GO:0050820,positive regulation of coagulation,26/18493,2.18E-05,0.000152779,5.32E-05,5054/2147/948,"SERPINE1,F2,CD36",0.062595484,3
BP,GO:1903959,regulation of anion transmembrane transport,26/18493,2.18E-05,0.000152779,5.32E-05,207/5243/1080,"AKT1,ABCB1,CFTR",0.066017513,3
BP,GO:0016125,sterol metabolic process,162/18493,2.19E-05,0.000153399,5.34E-05,847/5444/3156/1071/1080,"CAT,PON1,HMGCR,CETP,CFTR",0.089660712,5
BP,GO:0048511,rhythmic process,276/18493,2.26E-05,0.000157055,5.46E-05,7157/5468/836/4846/5054/4843,"TP53,PPARG,CASP3,NOS3,SERPINE1,NOS2",0.195092941,6
BP,GO:0030307,positive regulation of cell growth,163/18493,2.26E-05,0.000157055,5.46E-05,3630/207/7422/2147/596,"INS,AKT1,VEGFA,F2,BCL2",0.156975742,5
BP,GO:1905954,positive regulation of lipid localization,79/18493,2.26E-05,0.000157055,5.46E-05,3553/4023/5444/948,"IL1B,LPL,PON1,CD36",0.086985968,4
BP,GO:0001558,regulation of cell growth,416/18493,2.29E-05,0.000158316,5.51E-05,3630/207/7422/7157/5468/2147/596,"INS,AKT1,VEGFA,TP53,PPARG,F2,BCL2",0.228785764,7
BP,GO:0048015,phosphatidylinositol-mediated signaling,164/18493,2.33E-05,0.000160654,5.59E-05,3630/207/5594/847/2147,"INS,AKT1,MAPK1,CAT,F2",0.172345633,5
BP,GO:0050764,regulation of phagocytosis,80/18493,2.38E-05,0.000163811,5.70E-05,6347/3553/5468/948,"CCL2,IL1B,PPARG,CD36",0.117616979,4
BP,GO:0071450,cellular response to oxygen radical,27/18493,2.45E-05,0.000167292,5.82E-05,4846/4353/948,"NOS3,MPO,CD36",0.073021369,3
BP,GO:0071451,cellular response to superoxide,27/18493,2.45E-05,0.000167292,5.82E-05,4846/4353/948,"NOS3,MPO,CD36",0.073021369,3
BP,GO:1902895,positive regulation of pri-miRNA transcription by RNA polymerase II,27/18493,2.45E-05,0.000167292,5.82E-05,6774/7157/3586,"STAT3,TP53,IL10",0.110554557,3
BP,GO:0032386,regulation of intracellular transport,422/18493,2.51E-05,0.000170913,5.95E-05,7157/3553/5743/5594/3458/3162/948,"TP53,IL1B,PTGS2,MAPK1,IFNG,HMOX1,CD36",0.212702551,7
BP,GO:0048017,inositol lipid-mediated signaling,167/18493,2.54E-05,0.000172641,6.01E-05,3630/207/5594/847/2147,"INS,AKT1,MAPK1,CAT,F2",0.17092602,5
BP,GO:0050818,regulation of coagulation,82/18493,2.62E-05,0.000177894,6.19E-05,4846/5054/2147/948,"NOS3,SERPINE1,F2,CD36",0.093722243,4
BP,GO:0051403,stress-activated MAPK cascade,284/18493,2.65E-05,0.000179297,6.24E-05,207/7422/3553/5594/959/3156,"AKT1,VEGFA,IL1B,MAPK1,CD40LG,HMGCR",0.184333714,6
BP,GO:0031349,positive regulation of defense response,427/18493,2.70E-05,0.000182458,6.35E-05,3569/3553/5743/5054/4023/7941/948,"IL6,IL1B,PTGS2,SERPINE1,LPL,PLA2G7,CD36",0.190012918,7
BP,GO:0002675,positive regulation of acute inflammatory response,28/18493,2.74E-05,0.000184301,6.41E-05,3569/3553/5743,"IL6,IL1B,PTGS2",0.114886465,3
BP,GO:0001659,temperature homeostasis,171/18493,2.85E-05,0.000191018,6.65E-05,6774/7422/3553/5743/948,"STAT3,VEGFA,IL1B,PTGS2,CD36",0.154544477,5
BP,GO:0043154,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,84/18493,2.89E-05,0.000192755,6.71E-05,207/7422/4318/5743,"AKT1,VEGFA,MMP9,PTGS2",0.146290524,4
BP,GO:1903035,negative regulation of response to wounding,84/18493,2.89E-05,0.000192755,6.71E-05,4846/5054/2147/3156,"NOS3,SERPINE1,F2,HMGCR",0.098985273,4
BP,GO:0050796,regulation of insulin secretion,172/18493,2.93E-05,0.000194985,6.78E-05,3553/3458/4843/3156/1080,"IL1B,IFNG,NOS2,HMGCR,CFTR",0.117023087,5
BP,GO:0046427,positive regulation of JAK-STAT cascade,85/18493,3.02E-05,0.000200482,6.97E-05,3569/6774/3458/2147,"IL6,STAT3,IFNG,F2",0.134244069,4
BP,GO:0071674,mononuclear cell migration,85/18493,3.02E-05,0.000200482,6.97E-05,3569/6347/5054/7941,"IL6,CCL2,SERPINE1,PLA2G7",0.124541966,4
BP,GO:0002683,negative regulation of immune system process,437/18493,3.14E-05,0.000207399,7.22E-05,3630/207/6347/5468/3586/836/3162,"INS,AKT1,CCL2,PPARG,IL10,CASP3,HMOX1",0.249123134,7
BP,GO:0019932,second-messenger-mediated signaling,439/18493,3.23E-05,0.000213008,7.41E-05,3630/7422/3576/7412/4846/4843/948,"INS,VEGFA,CXCL8,VCAM1,NOS3,NOS2,CD36",0.212320894,7
BP,GO:0050829,defense response to Gram-negative bacterium,87/18493,3.31E-05,0.000218125,7.59E-05,3569/5054/4843/2147,"IL6,SERPINE1,NOS2,F2",0.11967897,4
BP,GO:0008217,regulation of blood pressure,177/18493,3.36E-05,0.000219885,7.65E-05,5743/5468/4846/3162/4843,"PTGS2,PPARG,NOS3,HMOX1,NOS2",0.153558373,5
BP,GO:1905475,regulation of protein localization to membrane,177/18493,3.36E-05,0.000219885,7.65E-05,3630/207/7157/3458/596,"INS,AKT1,TP53,IFNG,BCL2",0.159309041,5
BP,GO:0000303,response to superoxide,30/18493,3.38E-05,0.000220608,7.67E-05,4846/4353/948,"NOS3,MPO,CD36",0.070698276,3
BP,GO:0045907,positive regulation of vasoconstriction,30/18493,3.38E-05,0.000220608,7.67E-05,207/5743/3383,"AKT1,PTGS2,ICAM1",0.106006449,3
BP,GO:0001776,leukocyte homeostasis,88/18493,3.47E-05,0.000224346,7.80E-05,3569/207/836/596,"IL6,AKT1,CASP3,BCL2",0.1252439,4
BP,GO:0019217,regulation of fatty acid metabolic process,88/18493,3.47E-05,0.000224346,7.80E-05,3630/207/5743/5468,"INS,AKT1,PTGS2,PPARG",0.149626283,4
BP,GO:1904894,positive regulation of STAT cascade,88/18493,3.47E-05,0.000224346,7.80E-05,3569/6774/3458/2147,"IL6,STAT3,IFNG,F2",0.132470995,4
BP,GO:0051224,negative regulation of protein transport,181/18493,3.74E-05,0.000240985,8.38E-05,3630/3553/3586/3156/948,"INS,IL1B,IL10,HMGCR,CD36",0.13321518,5
BP,GO:0000305,response to oxygen radical,31/18493,3.74E-05,0.000240985,8.38E-05,4846/4353/948,"NOS3,MPO,CD36",0.069956393,3
BP,GO:0060333,interferon-gamma-mediated signaling pathway,90/18493,3.79E-05,0.00024334,8.47E-05,5468/3383/7412/3458,"PPARG,ICAM1,VCAM1,IFNG",0.12669101,4
BP,GO:0042113,B cell activation,303/18493,3.81E-05,0.000244252,8.50E-05,3569/3586/7412/836/959/596,"IL6,IL10,VCAM1,CASP3,CD40LG,BCL2",0.170739258,6
BP,GO:0023061,signal release,453/18493,3.94E-05,0.00025116,8.74E-05,3569/3630/3553/3458/4843/3156/1080,"IL6,INS,IL1B,IFNG,NOS2,HMGCR,CFTR",0.198504444,7
BP,GO:0042100,B cell proliferation,91/18493,3.96E-05,0.00025116,8.74E-05,3586/836/959/596,"IL10,CASP3,CD40LG,BCL2",0.09607684,4
BP,GO:0044070,regulation of anion transport,91/18493,3.96E-05,0.00025116,8.74E-05,207/3553/5243/1080,"AKT1,IL1B,ABCB1,CFTR",0.097057187,4
BP,GO:2000117,negative regulation of cysteine-type endopeptidase activity,91/18493,3.96E-05,0.00025116,8.74E-05,207/7422/4318/5743,"AKT1,VEGFA,MMP9,PTGS2",0.141764145,4
BP,GO:0043112,receptor metabolic process,184/18493,4.04E-05,0.000254206,8.84E-05,7422/3576/5468/3586/948,"VEGFA,CXCL8,PPARG,IL10,CD36",0.144272523,5
BP,GO:0050866,negative regulation of cell activation,184/18493,4.04E-05,0.000254206,8.84E-05,3586/836/4846/3162/2147,"IL10,CASP3,NOS3,HMOX1,F2",0.145317831,5
BP,GO:0071248,cellular response to metal ion,184/18493,4.04E-05,0.000254206,8.84E-05,207/4318/5743/5594/3162,"AKT1,MMP9,PTGS2,MAPK1,HMOX1",0.167817887,5
BP,GO:1904950,negative regulation of establishment of protein localization,184/18493,4.04E-05,0.000254206,8.84E-05,3630/3553/3586/3156/948,"INS,IL1B,IL10,HMGCR,CD36",0.132361083,5
BP,GO:0010574,regulation of vascular endothelial growth factor production,32/18493,4.12E-05,0.000257941,8.97E-05,3569/3553/5743,"IL6,IL1B,PTGS2",0.110395189,3
BP,GO:0032735,positive regulation of interleukin-12 production,32/18493,4.12E-05,0.000257941,8.97E-05,3458/959/948,"IFNG,CD40LG,CD36",0.058994262,3
BP,GO:0010660,regulation of muscle cell apoptotic process,92/18493,4.13E-05,0.000257941,8.97E-05,5468/3458/3162/3156,"PPARG,IFNG,HMOX1,HMGCR",0.105912752,4
BP,GO:0051346,negative regulation of hydrolase activity,458/18493,4.23E-05,0.000263473,9.17E-05,207/7422/7157/4318/5743/4846/5054,"AKT1,VEGFA,TP53,MMP9,PTGS2,NOS3,SERPINE1",0.236168085,7
BP,GO:1901655,cellular response to ketone,93/18493,4.31E-05,0.000267889,9.32E-05,207/5468/3383/1080,"AKT1,PPARG,ICAM1,CFTR",0.113389431,4
BP,GO:0042035,regulation of cytokine biosynthetic process,94/18493,4.49E-05,0.000278093,9.67E-05,3569/3553/3586/3162,"IL6,IL1B,IL10,HMOX1",0.137680542,4
BP,GO:1900542,regulation of purine nucleotide metabolic process,94/18493,4.49E-05,0.000278093,9.67E-05,3630/6774/4846/4843,"INS,STAT3,NOS3,NOS2",0.133596438,4
BP,GO:0071354,cellular response to interleukin-6,33/18493,4.53E-05,0.00027903,9.71E-05,3569/6774/3383,"IL6,STAT3,ICAM1",0.110699114,3
BP,GO:1903427,negative regulation of reactive oxygen species biosynthetic process,33/18493,4.53E-05,0.00027903,9.71E-05,3630/6774/3586,"INS,STAT3,IL10",0.111147343,3
BP,GO:0031098,stress-activated protein kinase signaling cascade,313/18493,4.57E-05,0.000280755,9.77E-05,207/7422/3553/5594/959/3156,"AKT1,VEGFA,IL1B,MAPK1,CD40LG,HMGCR",0.1747513,6
BP,GO:0002040,sprouting angiogenesis,189/18493,4.59E-05,0.000281669,9.80E-05,207/7422/5743/3586/3162,"AKT1,VEGFA,PTGS2,IL10,HMOX1",0.167547002,5
BP,GO:0042180,cellular ketone metabolic process,190/18493,4.71E-05,0.000288185,0.000100258,3630/207/5743/5468/3156,"INS,AKT1,PTGS2,PPARG,HMGCR",0.159241369,5
BP,GO:0009749,response to glucose,191/18493,4.83E-05,0.000294811,0.000102563,3383/836/4023/3156/1080,"ICAM1,CASP3,LPL,HMGCR,CFTR",0.107084671,5
BP,GO:0010657,muscle cell apoptotic process,96/18493,4.88E-05,0.000297263,0.000103416,5468/3458/3162/3156,"PPARG,IFNG,HMOX1,HMGCR",0.10409404,4
BP,GO:0034764,positive regulation of transmembrane transport,192/18493,4.95E-05,0.000300791,0.000104643,3630/207/2147/5243/1080,"INS,AKT1,F2,ABCB1,CFTR",0.123010788,5
BP,GO:0010573,vascular endothelial growth factor production,34/18493,4.96E-05,0.000300791,0.000104643,3569/3553/5743,"IL6,IL1B,PTGS2",0.108341878,3
BP,GO:0042102,positive regulation of T cell proliferation,97/18493,5.08E-05,0.000307502,0.000106978,3569/3553/7412/959,"IL6,IL1B,VCAM1,CD40LG",0.126888165,4
BP,GO:0010001,glial cell differentiation,194/18493,5.20E-05,0.000313957,0.000109224,207/6774/5468/5594/2147,"AKT1,STAT3,PPARG,MAPK1,F2",0.158384633,5
BP,GO:0006140,regulation of nucleotide metabolic process,98/18493,5.29E-05,0.000318677,0.000110866,3630/6774/4846/4843,"INS,STAT3,NOS3,NOS2",0.131373733,4
BP,GO:0043368,positive T cell selection,35/18493,5.42E-05,0.00032415,0.00011277,3569/6774/596,"IL6,STAT3,BCL2",0.087939698,3
BP,GO:1901099,negative regulation of signal transduction in absence of ligand,35/18493,5.42E-05,0.00032415,0.00011277,207/3553/596,"AKT1,IL1B,BCL2",0.081727198,3
BP,GO:2001240,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,35/18493,5.42E-05,0.00032415,0.00011277,207/3553/596,"AKT1,IL1B,BCL2",0.081727198,3
BP,GO:0032147,activation of protein kinase activity,323/18493,5.44E-05,0.000324792,0.000112993,3630/207/7422/3553/5594/959,"INS,AKT1,VEGFA,IL1B,MAPK1,CD40LG",0.198862865,6
BP,GO:1903531,negative regulation of secretion by cell,196/18493,5.46E-05,0.000325285,0.000113165,3630/3553/3586/3162/3156,"INS,IL1B,IL10,HMOX1,HMGCR",0.148781192,5
BP,GO:0034405,response to fluid shear stress,36/18493,5.90E-05,0.000350005,0.000121765,207/5743/4846,"AKT1,PTGS2,NOS3",0.099061944,3
BP,GO:1904037,positive regulation of epithelial cell apoptotic process,36/18493,5.90E-05,0.000350005,0.000121765,3569/6347/959,"IL6,CCL2,CD40LG",0.095525992,3
BP,GO:0002042,cell migration involved in sprouting angiogenesis,101/18493,5.95E-05,0.000350754,0.000122025,207/7422/5743/3162,"AKT1,VEGFA,PTGS2,HMOX1",0.131676939,4
BP,GO:0002286,T cell activation involved in immune response,101/18493,5.95E-05,0.000350754,0.000122025,3569/6774/3383/3458,"IL6,STAT3,ICAM1,IFNG",0.136029046,4
BP,GO:0046632,alpha-beta T cell differentiation,101/18493,5.95E-05,0.000350754,0.000122025,3569/6774/3458/596,"IL6,STAT3,IFNG,BCL2",0.115500519,4
BP,GO:0016049,cell growth,485/18493,6.07E-05,0.00035708,0.000124226,3630/207/7422/7157/5468/2147/596,"INS,AKT1,VEGFA,TP53,PPARG,F2,BCL2",0.207520991,7
BP,GO:0070741,response to interleukin-6,37/18493,6.41E-05,0.000375128,0.000130505,3569/6774/3383,"IL6,STAT3,ICAM1",0.106696142,3
BP,GO:1902893,regulation of pri-miRNA transcription by RNA polymerase II,37/18493,6.41E-05,0.000375128,0.000130505,6774/7157/3586,"STAT3,TP53,IL10",0.100287967,3
BP,GO:0030073,insulin secretion,203/18493,6.45E-05,0.000375128,0.000130505,3553/3458/4843/3156/1080,"IL1B,IFNG,NOS2,HMGCR,CFTR",0.108059329,5
BP,GO:0043903,"regulation of symbiosis, encompassing mutualism through parasitism",203/18493,6.45E-05,0.000375128,0.000130505,3576/3586/4353/596/948,"CXCL8,IL10,MPO,BCL2,CD36",0.111361368,5
BP,GO:0050679,positive regulation of epithelial cell proliferation,203/18493,6.45E-05,0.000375128,0.000130505,207/6774/7422/3586/3162,"AKT1,STAT3,VEGFA,IL10,HMOX1",0.165520205,5
BP,GO:0009612,response to mechanical stimulus,204/18493,6.60E-05,0.00038314,0.000133292,207/3553/5743/5468/4353,"AKT1,IL1B,PTGS2,PPARG,MPO",0.161623228,5
BP,GO:0042089,cytokine biosynthetic process,105/18493,6.93E-05,0.000399199,0.000138879,3569/3553/3586/3162,"IL6,IL1B,IL10,HMOX1",0.131601569,4
BP,GO:0043467,regulation of generation of precursor metabolites and energy,105/18493,6.93E-05,0.000399199,0.000138879,3630/207/6774/4843,"INS,AKT1,STAT3,NOS2",0.13516496,4
BP,GO:0000060,"protein import into nucleus, translocation",38/18493,6.95E-05,0.000399199,0.000138879,207/5594/3458,"AKT1,MAPK1,IFNG",0.095272371,3
BP,GO:0010661,positive regulation of muscle cell apoptotic process,38/18493,6.95E-05,0.000399199,0.000138879,5468/3458/3156,"PPARG,IFNG,HMGCR",0.072571219,3
BP,GO:0090050,positive regulation of cell migration involved in sprouting angiogenesis,38/18493,6.95E-05,0.000399199,0.000138879,7422/5743/3162,"VEGFA,PTGS2,HMOX1",0.09287272,3
BP,GO:0014066,regulation of phosphatidylinositol 3-kinase signaling,106/18493,7.19E-05,0.000411011,0.000142988,3630/5594/847/2147,"INS,MAPK1,CAT,F2",0.117287956,4
BP,GO:0042107,cytokine metabolic process,106/18493,7.19E-05,0.000411011,0.000142988,3569/3553/3586/3162,"IL6,IL1B,IL10,HMOX1",0.131111232,4
BP,GO:0002446,neutrophil mediated immunity,499/18493,7.26E-05,0.000414453,0.000144185,3569/4318/5594/4353/847/2147/948,"IL6,MMP9,MAPK1,MPO,CAT,F2,CD36",0.185528914,7
BP,GO:0070371,ERK1 and ERK2 cascade,341/18493,7.34E-05,0.000418192,0.000145487,6347/3553/5594/3383/3156/948,"CCL2,IL1B,MAPK1,ICAM1,HMGCR,CD36",0.148084965,6
BP,GO:0002699,positive regulation of immune effector process,209/18493,7.40E-05,0.000420633,0.000146336,3569/3553/3458/3162/948,"IL6,IL1B,IFNG,HMOX1,CD36",0.135686555,5
BP,GO:0006909,phagocytosis,342/18493,7.46E-05,0.000423224,0.000147237,6347/1401/3553/5468/5594/948,"CCL2,CRP,IL1B,PPARG,MAPK1,CD36",0.168072028,6
BP,GO:0043029,T cell homeostasis,39/18493,7.52E-05,0.000425511,0.000148033,207/836/596,"AKT1,CASP3,BCL2",0.075866945,3
